gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
SYCE1L,-1.13467430002722,0.0767391344200705,0.608984814130257,-1.57161077518467,0.00247992523478201,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
COL24A1,1.12259780850132,0.0772565163580963,0.608984814130257,1.10801388334094,0.137197854386659,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
MVP,1.11080763901165,0.0773899488428285,0.608984814130257,1.331233972637,0.0782130838702813,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZDHHC13,-1.05864637825753,0.0770207208136326,0.608984814130257,-0.97835595646297,0.142055796821063,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ARHGAP12,-1.03167098247515,0.0778947975503285,0.608984814130257,-0.775550419222897,0.199196888054291,0.88599300466822,FALSE,FALSE,FALSE,secondary,HSC_MPP
DAGLB,-1.02977581133162,0.0745747409250146,0.608984814130257,-0.898409902952682,0.147724803865615,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
SOAT1,-1.02977517212133,0.0742362291667761,0.608984814130257,-1.01636786111725,0.109408371481462,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
U2AF1L4,0.990221764615518,0.0733476417285774,0.608984814130257,0.88233173016178,0.15829358479208,0.861401891276119,FALSE,FALSE,FALSE,secondary,HSC_MPP
FCGRT,-0.965350593855963,0.0773996793674621,0.608984814130257,-0.699366000693085,0.222427782858991,0.887180321440757,FALSE,FALSE,FALSE,secondary,HSC_MPP
C22orf15,0.965249899087182,0.0744611128670946,0.608984814130257,1.06144487580829,0.106430069613918,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
MFN1,-0.845914432090718,0.0764069795464801,0.608984814130257,-0.846929069142968,0.113233285079179,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
STMN1,-0.832738170665448,0.0772883032020188,0.608984814130257,-0.906733256714213,0.091276052574739,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
CCSER1,-0.824496549211565,0.0780274843407441,0.608984814130257,-0.78251804204098,0.134647819198906,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
STAM2,-0.813986476742927,0.0779680087728433,0.608984814130257,-0.630202827715534,0.197528162004176,0.885695633656313,FALSE,FALSE,FALSE,secondary,HSC_MPP
