kind,dataset,sample,why,mtime,mb,from,to
infercnv_burden,GSE185381,GSM5613769_2020-03-18-count-1,absent from the QC report (dropped by the v2 ingest),2026-07-09T08:27:39Z,0.5,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613769_2020-03-18-count-1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613769_2020-03-18-count-1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613770_2020-03-18-count-2,absent from the QC report (dropped by the v2 ingest),2026-07-09T09:09:28Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613770_2020-03-18-count-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613770_2020-03-18-count-2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613771_2020-03-18-count-3,absent from the QC report (dropped by the v2 ingest),2026-07-09T09:34:28Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613771_2020-03-18-count-3_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613771_2020-03-18-count-3_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613774_2020-08-26-Control4003-c1,absent from the QC report (dropped by the v2 ingest),2026-07-09T07:25:47Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613774_2020-08-26-Control4003-c1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613774_2020-08-26-Control4003-c1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613775_2020-08-26-Control4003-c2,absent from the QC report (dropped by the v2 ingest),2026-07-09T08:15:46Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613775_2020-08-26-Control4003-c2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613775_2020-08-26-Control4003-c2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613776_2020-08-26-Control4003-c3,absent from the QC report (dropped by the v2 ingest),2026-07-09T08:19:22Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613776_2020-08-26-Control4003-c3_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613776_2020-08-26-Control4003-c3_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,absent from the QC report (dropped by the v2 ingest),2026-07-09T08:28:27Z,0.3,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613777_2020-09-11-AML4340_AML1371-c1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613777_2020-09-11-AML4340_AML1371-c1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,absent from the QC report (dropped by the v2 ingest),2026-07-09T08:41:40Z,0.3,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613778_2020-09-11-AML4340_AML1371-c2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613778_2020-09-11-AML4340_AML1371-c2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613779_2020-09-15-AML0024,absent from the QC report (dropped by the v2 ingest),2026-07-09T14:56:18Z,0.7,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613779_2020-09-15-AML0024_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613779_2020-09-15-AML0024_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613780_2020-10-06-AML4897,absent from the QC report (dropped by the v2 ingest),2026-07-09T08:52:27Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613780_2020-10-06-AML4897_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613780_2020-10-06-AML4897_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613781_2020-10-06-count2,absent from the QC report (dropped by the v2 ingest),2026-07-09T10:16:42Z,0.3,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613781_2020-10-06-count2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613781_2020-10-06-count2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613782_2020-10-06-count4_0.95,absent from the QC report (dropped by the v2 ingest),2026-07-09T09:34:35Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613782_2020-10-06-count4_0.95_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613782_2020-10-06-count4_0.95_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613784_2021-03-09-AML0693,absent from the QC report (dropped by the v2 ingest),2026-07-09T10:17:20Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613784_2021-03-09-AML0693_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613784_2021-03-09-AML0693_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613785_2021-03-09-AML3948,absent from the QC report (dropped by the v2 ingest),2026-07-09T12:54:42Z,0.5,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613785_2021-03-09-AML3948_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613785_2021-03-09-AML3948_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613786_2021-03-09-AMLMS3730,absent from the QC report (dropped by the v2 ingest),2026-07-09T13:13:08Z,0.4,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613786_2021-03-09-AMLMS3730_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613786_2021-03-09-AMLMS3730_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613787_2021-03-09-count1_0.95,absent from the QC report (dropped by the v2 ingest),2026-07-09T10:23:54Z,0.2,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613787_2021-03-09-count1_0.95_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613787_2021-03-09-count1_0.95_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613788_2021-03-09-Z-1-1,absent from the QC report (dropped by the v2 ingest),2026-07-09T10:27:27Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613788_2021-03-09-Z-1-1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613788_2021-03-09-Z-1-1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613789_2021-03-09-Z-1-2,absent from the QC report (dropped by the v2 ingest),2026-07-09T10:39:10Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613789_2021-03-09-Z-1-2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613789_2021-03-09-Z-1-2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613790_2021-03-09-Z-1-3,absent from the QC report (dropped by the v2 ingest),2026-07-09T10:48:38Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613790_2021-03-09-Z-1-3_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613790_2021-03-09-Z-1-3_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613791_2019-10-21-1-Control0004,absent from the QC report (dropped by the v2 ingest),2026-07-09T13:20:35Z,1.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613791_2019-10-21-1-Control0004_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613791_2019-10-21-1-Control0004_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613793_2020-03-18-82,absent from the QC report (dropped by the v2 ingest),2026-07-09T10:49:17Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613793_2020-03-18-82_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613793_2020-03-18-82_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613795_2020-05-22-5prime_2,absent from the QC report (dropped by the v2 ingest),2026-07-09T11:02:31Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613795_2020-05-22-5prime_2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613795_2020-05-22-5prime_2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,absent from the QC report (dropped by the v2 ingest),2026-07-09T10:59:48Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613796_2020-08-07-MDS-AML_cDNA1_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613796_2020-08-07-MDS-AML_cDNA1_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,absent from the QC report (dropped by the v2 ingest),2026-07-09T11:09:05Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613797_2020-08-07-MDS-AML_cDNA2_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613797_2020-08-07-MDS-AML_cDNA2_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613800_2021-04-29-0102_cDNA,absent from the QC report (dropped by the v2 ingest),2026-07-09T11:13:46Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613800_2021-04-29-0102_cDNA_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613800_2021-04-29-0102_cDNA_infercnv_burden.csv
infercnv_burden,GSE185381,GSM5613801_2021-04-29-0134_cDNA,absent from the QC report (dropped by the v2 ingest),2026-07-09T11:24:40Z,0.1,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/infercnv_burden/GSE185381/GSM5613801_2021-04-29-0134_cDNA_infercnv_burden.csv,/LARGE1/gr10634/gaozy/aml_niche_net/05_cnv_snv/_stale_v1__infercnv_burden/GSE185381/GSM5613801_2021-04-29-0134_cDNA_infercnv_burden.csv
