dataset,sample,sender_bin,receiver_bin,reach,C_geo
Chen2023,NBM1,Mono_DC,Erythroid,0.07012652101708401,2.6574542252913087
Chen2023,NBM1,Mono_DC,Megakaryocyte,0.03353849177724564,3.3950614914799235
Chen2023,NBM1,Mono_DC,T_NK,0.06689333429817197,2.704655953610655
Chen2023,NBM1,Mono_DC,B_Plasma,0.07426056235919265,2.6001752574206076
Chen2023,NBM1,Erythroid,HSC_MPP,0.13251232301757376,2.0210796339742383
Chen2023,NBM1,Erythroid,LMPP_GMP,0.2556796021599443,1.3638301724131652
Chen2023,NBM1,Erythroid,Mono_DC,0.22950087944408065,1.4718484174885278
Chen2023,NBM1,Erythroid,Erythroid,0.21194470771663773,1.55142985098503
Chen2023,NBM1,Erythroid,Megakaryocyte,0.02771900102129477,3.5856371435026553
Chen2023,NBM1,Erythroid,T_NK,0.0603393966094515,2.8077700451445833
Chen2023,NBM1,Erythroid,B_Plasma,0.08230409003101713,2.4973344759237768
Chen2023,NBM1,Megakaryocyte,HSC_MPP,0.13280045881104288,2.0189075870433406
Chen2023,NBM1,Megakaryocyte,LMPP_GMP,0.2561374765508747,1.3620409608681643
Chen2023,NBM1,Megakaryocyte,Mono_DC,0.22731459171864515,1.4814203543255697
Chen2023,NBM1,Megakaryocyte,Erythroid,0.06278485341794943,2.768041422210664
Chen2023,NBM1,Megakaryocyte,Megakaryocyte,0.17788299302214247,1.7266292874066396
Chen2023,NBM1,Megakaryocyte,T_NK,0.06081162534703367,2.799974301921938
Chen2023,NBM1,Megakaryocyte,B_Plasma,0.0822680011323115,2.497773054531231
Chen2023,NBM1,T_NK,HSC_MPP,0.13698309159440275,1.987897779789724
Chen2023,NBM1,T_NK,LMPP_GMP,0.28403561919978526,1.2586556289677724
Chen2023,NBM1,T_NK,Mono_DC,0.18813992650205236,1.6705693030940243
Chen2023,NBM1,T_NK,Erythroid,0.05468066936791815,2.906245025651971
Chen2023,NBM1,T_NK,Megakaryocyte,0.029551229549750382,3.5216299268670572
Chen2023,NBM1,T_NK,T_NK,0.24094377726513191,1.423191662063976
Chen2023,NBM1,T_NK,B_Plasma,0.06566568652095868,2.7231787651004247
Chen2023,NBM1,B_Plasma,HSC_MPP,0.12142186703491052,2.108484292731041
Chen2023,NBM1,B_Plasma,LMPP_GMP,0.2753071972979083,1.2898677237030678
Chen2023,NBM1,B_Plasma,Mono_DC,0.22847755217932217,1.4763173133891734
Chen2023,NBM1,B_Plasma,Erythroid,0.06026305038675854,2.8090361261370145
Chen2023,NBM1,B_Plasma,Megakaryocyte,0.03234773982093724,3.4312111269076158
Chen2023,NBM1,B_Plasma,T_NK,0.06338866639098678,2.758470197068169
Chen2023,NBM1,B_Plasma,B_Plasma,0.218793926889176,1.5196249652675355
Chen2023,NBM2,HSC_MPP,HSC_MPP,0.2944659558281687,1.2225918824770303
Chen2023,NBM2,HSC_MPP,LMPP_GMP,0.16862489687564805,1.7800785760146824
Chen2023,NBM2,HSC_MPP,Mono_DC,0.3082380479178825,1.1768829116784407
Chen2023,NBM2,HSC_MPP,Erythroid,0.07294405614887077,2.618062485758239
Chen2023,NBM2,HSC_MPP,Megakaryocyte,0.006863140896245459,4.981590085433143
Chen2023,NBM2,HSC_MPP,T_NK,0.0638695146208084,2.750913110923841
Chen2023,NBM2,HSC_MPP,B_Plasma,0.08499438771237601,2.4651700515849164
Chen2023,NBM2,LMPP_GMP,HSC_MPP,0.1445198622076252,1.9343383261516354
Chen2023,NBM2,LMPP_GMP,LMPP_GMP,0.31752033338972874,1.1472134205276292
Chen2023,NBM2,LMPP_GMP,Mono_DC,0.30910479941183955,1.1740749029123951
Chen2023,NBM2,LMPP_GMP,Erythroid,0.07395375443005453,2.6043153212688464
Chen2023,NBM2,LMPP_GMP,Megakaryocyte,0.006863140896245458,4.981590085433144
Chen2023,NBM2,LMPP_GMP,T_NK,0.06252276579057127,2.772224535914532
Chen2023,NBM2,LMPP_GMP,B_Plasma,0.08551534387393515,2.459059458626673
Chen2023,NBM2,Mono_DC,HSC_MPP,0.14054828845915315,1.962204159155516
Chen2023,NBM2,Mono_DC,LMPP_GMP,0.16547212520885116,1.798952526091645
Chen2023,NBM2,Mono_DC,Mono_DC,0.46746238435175097,0.7604363947702548
Chen2023,NBM2,Mono_DC,Erythroid,0.07198727920107544,2.6312658533382773
Chen2023,NBM2,Mono_DC,Megakaryocyte,0.006863140896245459,4.981590085433143
Chen2023,NBM2,Mono_DC,T_NK,0.06474419677098193,2.7373112075776445
Chen2023,NBM2,Mono_DC,B_Plasma,0.08292258511194187,2.489847815924375
Chen2023,NBM2,Erythroid,HSC_MPP,0.14498540599110352,1.9311221899641635
Chen2023,NBM2,Erythroid,LMPP_GMP,0.170211949227737,1.7707108583287796
Chen2023,NBM2,Erythroid,Mono_DC,0.31243004021567955,1.1633747061784285
Chen2023,NBM2,Erythroid,Erythroid,0.22264156403996083,1.502192136816302
Chen2023,NBM2,Erythroid,Megakaryocyte,0.006863140896245459,4.981590085433143
Chen2023,NBM2,Erythroid,T_NK,0.05691706437321819,2.8661600817001607
Chen2023,NBM2,Erythroid,B_Plasma,0.08595083525605533,2.4539798292708253
Chen2023,NBM2,Megakaryocyte,HSC_MPP,0.13980798936219896,1.9674853023017578
Chen2023,NBM2,Megakaryocyte,LMPP_GMP,0.16055649879439152,1.8291093809451198
Chen2023,NBM2,Megakaryocyte,Mono_DC,0.2828616301829453,1.2627974401915658
