dataset,sample,timepoint,sender_bin,receiver_bin,weight_probsum,n_lr_sig,rank_pct,C
Chen2023,AML24,Diagnosis,T_NK,LMPP_GMP,0.239631814668865,8,0.857142857142857,0.142857142857143
Chen2023,AML24,Diagnosis,T_NK,Mono_DC,0.039926436360176,1,0.224489795918367,0.775510204081633
Chen2023,AML24,Diagnosis,T_NK,Erythroid,0.0367436048183022,2,0.204081632653061,0.795918367346939
Chen2023,AML24,Diagnosis,T_NK,Megakaryocyte,0.0908661587177695,3,0.448979591836735,0.551020408163265
Chen2023,AML24,Diagnosis,T_NK,T_NK,0.425899686546606,19,1,0
Chen2023,AML24,Diagnosis,T_NK,B_Plasma,0.196066970774111,4,0.775510204081633,0.224489795918367
Chen2023,AML24,Diagnosis,B_Plasma,HSC_MPP,0.138463642978023,4,0.612244897959184,0.387755102040816
Chen2023,AML24,Diagnosis,B_Plasma,LMPP_GMP,0.181180058141883,5,0.73469387755102,0.26530612244898
Chen2023,AML24,Diagnosis,B_Plasma,Mono_DC,0.0350348674233302,1,0.183673469387755,0.816326530612245
Chen2023,AML24,Diagnosis,B_Plasma,Erythroid,0.0289637400979352,1,0.142857142857143,0.857142857142857
Chen2023,AML24,Diagnosis,B_Plasma,Megakaryocyte,0.0613066390375431,2,0.36734693877551,0.63265306122449
Chen2023,AML24,Diagnosis,B_Plasma,T_NK,0.314837029554264,18,0.938775510204082,0.0612244897959183
Chen2023,AML24,Diagnosis,B_Plasma,B_Plasma,0.153499839547516,4,0.63265306122449,0.36734693877551
Chen2023,AML304,Diagnosis,HSC_MPP,HSC_MPP,0.166601440748884,10,0.857142857142857,0.142857142857143
Chen2023,AML304,Diagnosis,HSC_MPP,LMPP_GMP,0.200670071002504,12,0.918367346938776,0.0816326530612245
Chen2023,AML304,Diagnosis,HSC_MPP,Mono_DC,0.303237496078055,20,0.979591836734694,0.0204081632653061
Chen2023,AML304,Diagnosis,HSC_MPP,Erythroid,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,HSC_MPP,Megakaryocyte,0.0022937494474713,1,0.36734693877551,0.63265306122449
Chen2023,AML304,Diagnosis,HSC_MPP,T_NK,0.0949492901101667,7,0.755102040816326,0.244897959183674
Chen2023,AML304,Diagnosis,HSC_MPP,B_Plasma,0.0267496417733114,5,0.551020408163265,0.448979591836735
Chen2023,AML304,Diagnosis,LMPP_GMP,HSC_MPP,0.189927452136745,8,0.897959183673469,0.102040816326531
Chen2023,AML304,Diagnosis,LMPP_GMP,LMPP_GMP,0.245717601291053,9,0.938775510204082,0.0612244897959183
Chen2023,AML304,Diagnosis,LMPP_GMP,Mono_DC,0.329342911482874,18,1,0
Chen2023,AML304,Diagnosis,LMPP_GMP,Erythroid,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,LMPP_GMP,Megakaryocyte,0.0661865875201789,3,0.673469387755102,0.326530612244898
Chen2023,AML304,Diagnosis,LMPP_GMP,T_NK,0.115928276411615,6,0.816326530612245,0.183673469387755
Chen2023,AML304,Diagnosis,LMPP_GMP,B_Plasma,0.0363691600530141,7,0.63265306122449,0.36734693877551
Chen2023,AML304,Diagnosis,Mono_DC,HSC_MPP,0.137238325010611,7,0.836734693877551,0.163265306122449
Chen2023,AML304,Diagnosis,Mono_DC,LMPP_GMP,0.189310768632284,11,0.877551020408163,0.122448979591837
Chen2023,AML304,Diagnosis,Mono_DC,Mono_DC,0.271920693824108,19,0.959183673469388,0.0408163265306123
Chen2023,AML304,Diagnosis,Mono_DC,Erythroid,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Mono_DC,Megakaryocyte,0.0261273244990528,3,0.530612244897959,0.469387755102041
Chen2023,AML304,Diagnosis,Mono_DC,T_NK,0.0717351689128101,4,0.693877551020408,0.306122448979592
Chen2023,AML304,Diagnosis,Mono_DC,B_Plasma,0.0306248741179107,8,0.571428571428571,0.428571428571429
Chen2023,AML304,Diagnosis,Erythroid,HSC_MPP,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Erythroid,LMPP_GMP,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Erythroid,Mono_DC,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Erythroid,Erythroid,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Erythroid,Megakaryocyte,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Erythroid,T_NK,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Erythroid,B_Plasma,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Megakaryocyte,HSC_MPP,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Megakaryocyte,LMPP_GMP,0.00279099326665735,2,0.387755102040816,0.612244897959184
Chen2023,AML304,Diagnosis,Megakaryocyte,Mono_DC,0.0307747788875557,3,0.591836734693878,0.408163265306122
Chen2023,AML304,Diagnosis,Megakaryocyte,Erythroid,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Megakaryocyte,Megakaryocyte,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,Megakaryocyte,T_NK,0.0405611601674304,2,0.653061224489796,0.346938775510204
Chen2023,AML304,Diagnosis,Megakaryocyte,B_Plasma,0.00387410653512568,2,0.408163265306122,0.591836734693878
Chen2023,AML304,Diagnosis,T_NK,HSC_MPP,0.0802528521558038,2,0.714285714285714,0.285714285714286
Chen2023,AML304,Diagnosis,T_NK,LMPP_GMP,0.0887083878177303,2,0.73469387755102,0.26530612244898
Chen2023,AML304,Diagnosis,T_NK,Mono_DC,0.0976809121151556,3,0.795918367346939,0.204081632653061
Chen2023,AML304,Diagnosis,T_NK,Erythroid,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,T_NK,Megakaryocyte,0.0310651640536016,1,0.612244897959184,0.387755102040816
Chen2023,AML304,Diagnosis,T_NK,T_NK,0.0976557274580008,3,0.775510204081633,0.224489795918367
Chen2023,AML304,Diagnosis,T_NK,B_Plasma,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,B_Plasma,HSC_MPP,0.00566969297920823,2,0.469387755102041,0.530612244897959
Chen2023,AML304,Diagnosis,B_Plasma,LMPP_GMP,0.00944220927501556,4,0.489795918367347,0.510204081632653
Chen2023,AML304,Diagnosis,B_Plasma,Mono_DC,0.021597168306407,5,0.510204081632653,0.489795918367347
Chen2023,AML304,Diagnosis,B_Plasma,Erythroid,0,0,0.173469387755102,0.826530612244898
Chen2023,AML304,Diagnosis,B_Plasma,Megakaryocyte,0.00135408279610068,1,0.346938775510204,0.653061224489796
Chen2023,AML304,Diagnosis,B_Plasma,T_NK,0.00439663278969292,1,0.428571428571429,0.571428571428571
Chen2023,AML304,Diagnosis,B_Plasma,B_Plasma,0.00505765032056536,4,0.448979591836735,0.551020408163265
Chen2023,AML320,Diagnosis,HSC_MPP,HSC_MPP,0.213972764880519,13,1,0
Chen2023,AML320,Diagnosis,HSC_MPP,LMPP_GMP,0.11987041924767,6,0.877551020408163,0.122448979591837
Chen2023,AML320,Diagnosis,HSC_MPP,Mono_DC,0.01532805999737,3,0.489795918367347,0.510204081632653
Chen2023,AML320,Diagnosis,HSC_MPP,Erythroid,0.0688481205394978,2,0.775510204081633,0.224489795918367
Chen2023,AML320,Diagnosis,HSC_MPP,Megakaryocyte,0.009389980929658,3,0.408163265306122,0.591836734693878
Chen2023,AML320,Diagnosis,HSC_MPP,T_NK,0.0385812725586278,3,0.653061224489796,0.346938775510204
Chen2023,AML320,Diagnosis,HSC_MPP,B_Plasma,0.197940787586827,5,0.959183673469388,0.0408163265306123
Chen2023,AML320,Diagnosis,LMPP_GMP,HSC_MPP,0.194272376258722,8,0.938775510204082,0.0612244897959183
Chen2023,AML320,Diagnosis,LMPP_GMP,LMPP_GMP,0.11222448806851,6,0.836734693877551,0.163265306122449
Chen2023,AML320,Diagnosis,LMPP_GMP,Mono_DC,0.0101813528017129,2,0.428571428571429,0.571428571428571
Chen2023,AML320,Diagnosis,LMPP_GMP,Erythroid,0.0700409348288283,3,0.795918367346939,0.204081632653061
Chen2023,AML320,Diagnosis,LMPP_GMP,Megakaryocyte,0.0121173883536526,2,0.469387755102041,0.530612244897959
Chen2023,AML320,Diagnosis,LMPP_GMP,T_NK,0.0306192673925973,3,0.591836734693878,0.408163265306122
Chen2023,AML320,Diagnosis,LMPP_GMP,B_Plasma,0.213281374872869,7,0.979591836734694,0.0204081632653061
Chen2023,AML320,Diagnosis,Mono_DC,HSC_MPP,0.0107534317430108,1,0.448979591836735,0.551020408163265
Chen2023,AML320,Diagnosis,Mono_DC,LMPP_GMP,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,Mono_DC,Mono_DC,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,Mono_DC,Erythroid,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,Mono_DC,Megakaryocyte,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,Mono_DC,T_NK,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,Mono_DC,B_Plasma,0.00372477518323638,2,0.346938775510204,0.653061224489796
Chen2023,AML320,Diagnosis,Erythroid,HSC_MPP,0.152066822531074,8,0.897959183673469,0.102040816326531
Chen2023,AML320,Diagnosis,Erythroid,LMPP_GMP,0.0400499489705912,6,0.673469387755102,0.326530612244898
Chen2023,AML320,Diagnosis,Erythroid,Mono_DC,0.0166397482567498,3,0.510204081632653,0.489795918367347
Chen2023,AML320,Diagnosis,Erythroid,Erythroid,0.0643725390896827,3,0.73469387755102,0.26530612244898
Chen2023,AML320,Diagnosis,Erythroid,Megakaryocyte,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,Erythroid,T_NK,0.0243545158009729,3,0.530612244897959,0.469387755102041
Chen2023,AML320,Diagnosis,Erythroid,B_Plasma,0.174869397479234,6,0.918367346938776,0.0816326530612245
Chen2023,AML320,Diagnosis,Megakaryocyte,HSC_MPP,0.0568735764531424,3,0.714285714285714,0.285714285714286
Chen2023,AML320,Diagnosis,Megakaryocyte,LMPP_GMP,0.0283364888130578,1,0.551020408163265,0.448979591836735
Chen2023,AML320,Diagnosis,Megakaryocyte,Mono_DC,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,Megakaryocyte,Erythroid,0.0686059527761175,1,0.755102040816326,0.244897959183674
Chen2023,AML320,Diagnosis,Megakaryocyte,Megakaryocyte,0.00722066843065898,1,0.387755102040816,0.612244897959184
Chen2023,AML320,Diagnosis,Megakaryocyte,T_NK,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,Megakaryocyte,B_Plasma,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,T_NK,HSC_MPP,0.117065444253129,5,0.857142857142857,0.142857142857143
Chen2023,AML320,Diagnosis,T_NK,LMPP_GMP,0.0369826738620711,3,0.63265306122449,0.36734693877551
Chen2023,AML320,Diagnosis,T_NK,Mono_DC,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,T_NK,Erythroid,0.0510079468115209,1,0.693877551020408,0.306122448979592
Chen2023,AML320,Diagnosis,T_NK,Megakaryocyte,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,T_NK,T_NK,0.00716493720544881,1,0.36734693877551,0.63265306122449
Chen2023,AML320,Diagnosis,T_NK,B_Plasma,0.0787887392541682,1,0.816326530612245,0.183673469387755
Chen2023,AML320,Diagnosis,B_Plasma,HSC_MPP,0.0299005550064852,2,0.571428571428571,0.428571428571429
Chen2023,AML320,Diagnosis,B_Plasma,LMPP_GMP,0.0013126159423395,1,0.306122448979592,0.693877551020408
Chen2023,AML320,Diagnosis,B_Plasma,Mono_DC,0.00271581641894912,1,0.326530612244898,0.673469387755102
Chen2023,AML320,Diagnosis,B_Plasma,Erythroid,0.0346320243381216,1,0.612244897959184,0.387755102040816
Chen2023,AML320,Diagnosis,B_Plasma,Megakaryocyte,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,B_Plasma,T_NK,0,0,0.153061224489796,0.846938775510204
Chen2023,AML320,Diagnosis,B_Plasma,B_Plasma,0,0,0.153061224489796,0.846938775510204
Chen2023,NBM1,Healthy,HSC_MPP,HSC_MPP,0.194485379137392,5,0.816326530612245,0.183673469387755
