arm,alpha,kind,k,delta,n,frac_targets_moved,intercept,p_two_sided,wilcoxon_p,p_registered
mask,0.5,Dx_to_Relapse,1,0.5,11,0.9090909090909091,-0.022041410955159928,0.522380338530684,0.365234375,0.522380338530684
mask,0.5,Dx_to_Treatment,1,1.0,11,0.9090909090909091,-0.07503399902127561,0.05457929062226657,0.240234375,0.027289645311133284
mask,0.5,Dx_to_Relapse,1,1.0,11,0.9090909090909091,-0.0245460283208225,0.4870962790134397,0.365234375,0.4870962790134397
mask,0.5,Dx_to_Treatment,1,2.0,11,0.9090909090909091,-0.07518103542718,0.05420550203241957,0.240234375,0.027102751016209785
mask,0.5,Dx_to_Relapse,1,2.0,11,0.9090909090909091,-0.024653636790883608,0.4851173234038742,0.365234375,0.4851173234038742
mask,0.5,Dx_to_Treatment,1,4.0,11,0.9090909090909091,-0.07537247073443491,0.0538652184994864,0.240234375,0.0269326092497432
mask,0.5,Dx_to_Relapse,1,4.0,11,0.9090909090909091,-0.02466544218221539,0.48490077025075984,0.365234375,0.48490077025075984
mask,0.5,Dx_to_Treatment,3,0.0,11,0.0,-0.07431314126608089,0.05952599739952829,0.240234375,0.029762998699764145
mask,0.5,Dx_to_Relapse,3,0.0,11,0.0,-0.019444535251110413,0.5822299341127045,0.4130859375,0.5822299341127045
mask,0.5,Dx_to_Treatment,3,0.25,11,0.9696969696969696,-0.07746569563037341,0.046455260201503666,0.240234375,0.023227630100751833
mask,0.5,Dx_to_Relapse,3,0.25,11,0.9696969696969696,-0.02206633639762033,0.5174282650647567,0.365234375,0.5174282650647567
mask,0.5,Dx_to_Treatment,3,0.5,11,0.9696969696969696,-0.0771836715095186,0.04843932729140448,0.240234375,0.02421966364570224
mask,0.5,Dx_to_Relapse,3,0.5,11,0.9696969696969696,-0.023547201094108995,0.4892860096015487,0.365234375,0.4892860096015487
mask,0.5,Dx_to_Treatment,3,1.0,11,1.0,-0.07733868279086271,0.0475160469108876,0.240234375,0.0237580234554438
mask,0.5,Dx_to_Relapse,3,1.0,11,0.9696969696969696,-0.029979577232818598,0.4105958663220389,0.365234375,0.4105958663220389
mask,0.5,Dx_to_Treatment,3,2.0,11,1.0,-0.07762510863233636,0.04692413218864733,0.240234375,0.023462066094323664
mask,0.5,Dx_to_Relapse,3,2.0,11,0.9696969696969696,-0.030639094381208896,0.4003916406535731,0.3203125,0.4003916406535731
mask,0.5,Dx_to_Treatment,3,4.0,11,1.0,-0.07764191982894517,0.04833971332690519,0.240234375,0.024169856663452595
mask,0.5,Dx_to_Relapse,3,4.0,11,0.9696969696969696,-0.030229209576546356,0.41167689120405015,0.3203125,0.41167689120405015
mask,0.5,Dx_to_Treatment,6,0.0,11,0.0,-0.07431314126608089,0.05952599739952829,0.240234375,0.029762998699764145
mask,0.5,Dx_to_Relapse,6,0.0,11,0.0,-0.019444535251110413,0.5822299341127045,0.4130859375,0.5822299341127045
