arm,kind,edge,occupancy,median_within_pair_abs_dC,mean_within_pair_abs_dC,sd_between_patients_at_dx,snr
mask,Dx_to_Treatment,Erythroid->Erythroid,0.43243243243243246,0.040000000000000036,0.23667056667056666,0.25946162503914505,0.15416537992454654
mask,Dx_to_Treatment,Erythroid->Megakaryocyte,0.05405405405405406,0.0,0.03931203931203931,0.0,
mask,Dx_to_Treatment,Erythroid->T_NK,0.5405405405405406,0.4285714285714286,0.3892245877289865,0.35768107886746253,1.1981942962385053
mask,Dx_to_Treatment,Erythroid->B_Plasma,0.5675675675675675,0.6285714285714286,0.4915961815961816,0.4841398039101697,1.298326275788011
mask,Dx_to_Treatment,Megakaryocyte->HSC_MPP,0.05405405405405406,0.0,0.04422604422604423,0.0,
mask,Dx_to_Treatment,Megakaryocyte->LMPP_GMP,0.08108108108108109,0.0,0.05703755703755704,0.0,
mask,Dx_to_Treatment,Megakaryocyte->Mono_DC,0.08108108108108109,0.0,0.06502281502281503,0.0,
mask,Dx_to_Treatment,Megakaryocyte->Erythroid,0.08108108108108109,0.0,0.05142155142155142,0.0,
mask,Dx_to_Treatment,Megakaryocyte->Megakaryocyte,0.08108108108108109,0.0,0.14759564759564758,0.0,
mask,Dx_to_Treatment,Megakaryocyte->T_NK,0.05405405405405406,0.0,0.045454545454545456,0.0,
mask,Dx_to_Treatment,Megakaryocyte->B_Plasma,0.05405405405405406,0.0,0.035714285714285705,0.0,
mask,Dx_to_Treatment,T_NK->HSC_MPP,0.7567567567567568,0.039999999999999925,0.20528533172536872,0.25954306937188726,0.15411700299608377
mask,Dx_to_Treatment,T_NK->LMPP_GMP,0.8378378378378378,0.1108870967741935,0.1761737388141926,0.18857665724397918,0.5880213298654909
mask,Dx_to_Treatment,T_NK->Mono_DC,0.918918918918919,0.4545454545454546,0.4199543588033324,0.2963550657930708,1.5337866870237333
mask,Dx_to_Treatment,T_NK->Erythroid,0.43243243243243246,0.12,0.23141974323792505,0.07134780527269972,1.6819017703676498
mask,Dx_to_Treatment,T_NK->Megakaryocyte,0.08108108108108109,0.0,0.08213408213408215,0.0,
mask,Dx_to_Treatment,T_NK->T_NK,0.7297297297297297,0.1428571428571428,0.2190050166516442,0.37925804261178275,0.37667531550115246
mask,Dx_to_Treatment,T_NK->B_Plasma,0.5945945945945946,0.22222222222222232,0.37040121186285724,0.4674277178487633,0.47541515775947746
mask,Dx_to_Treatment,B_Plasma->HSC_MPP,0.43243243243243246,0.12,0.27254624163715074,0.33706155630494256,0.3560180559168692
mask,Dx_to_Treatment,B_Plasma->LMPP_GMP,0.5945945945945946,0.3571428571428572,0.3710869749687469,0.34606570307141993,1.0320088179011233
mask,Dx_to_Treatment,B_Plasma->Mono_DC,0.7027027027027027,0.2727272727272727,0.3167768709410938,0.30295490510186396,0.9002239875785221
mask,Dx_to_Treatment,B_Plasma->Erythroid,0.35135135135135137,0.0,0.26193755739210284,0.34247764598053543,0.0
mask,Dx_to_Treatment,B_Plasma->Megakaryocyte,0.05405405405405406,0.0,0.05651105651105651,0.0,
mask,Dx_to_Treatment,B_Plasma->T_NK,0.6216216216216216,0.22857142857142865,0.3435270171340553,0.3699451002129601,0.6178522933263632
mask,Dx_to_Treatment,B_Plasma->B_Plasma,0.6756756756756757,0.6129032258064516,0.515887699787993,0.4557857985862632,1.3447176891152126
const,Dx_to_Relapse,HSC_MPP->HSC_MPP,0.8108108108108109,0.10204081632653061,0.14471243042671614,0.28016070940879106,0.3642224369786262
const,Dx_to_Relapse,HSC_MPP->LMPP_GMP,0.8108108108108109,0.08163265306122447,0.09090909090909091,0.28766890378574683,0.2837729486466279
const,Dx_to_Relapse,HSC_MPP->Mono_DC,0.7837837837837838,0.08163265306122447,0.13543599257884972,0.2758432673810963,0.29593853725798347
const,Dx_to_Relapse,HSC_MPP->Erythroid,0.5945945945945946,0.18367346938775508,0.22077922077922071,0.30712267021105866,0.5980459510251468
const,Dx_to_Relapse,HSC_MPP->Megakaryocyte,0.05405405405405406,0.0,0.011131725417439705,0.0,
const,Dx_to_Relapse,HSC_MPP->T_NK,0.7837837837837838,0.04081632653061229,0.1966604823747681,0.2839596266273647,0.1437398936440174
const,Dx_to_Relapse,HSC_MPP->B_Plasma,0.5405405405405406,0.061224489795918324,0.20779220779220778,0.41878570873671334,0.1461952700836064
const,Dx_to_Relapse,LMPP_GMP->HSC_MPP,0.8108108108108109,0.10204081632653061,0.11317254174397035,0.28026880653229214,0.3640819597052576
const,Dx_to_Relapse,LMPP_GMP->LMPP_GMP,0.9459459459459459,0.061224489795918324,0.09647495361781075,0.14104334903575028,0.43408278528893796
const,Dx_to_Relapse,LMPP_GMP->Mono_DC,0.972972972972973,0.08163265306122447,0.1465677179962894,0.07429957667962261,1.09869607216232
const,Dx_to_Relapse,LMPP_GMP->Erythroid,0.6486486486486487,0.10204081632653073,0.20315398886827457,0.28013367861038685,0.36425758171137385
const,Dx_to_Relapse,LMPP_GMP->Megakaryocyte,0.08108108108108109,0.0,0.029684601113172535,0.0,
const,Dx_to_Relapse,LMPP_GMP->T_NK,0.918918918918919,0.12244897959183676,0.19109461966604824,0.08993074714954034,1.361591930157367
const,Dx_to_Relapse,LMPP_GMP->B_Plasma,0.7567567567567568,0.04081632653061229,0.20037105751391462,0.4300707055624334,0.09490608405246746
const,Dx_to_Relapse,Mono_DC->HSC_MPP,0.7567567567567568,0.12244897959183665,0.16326530612244897,0.24816924609529725,0.4934091613624684
const,Dx_to_Relapse,Mono_DC->LMPP_GMP,0.9459459459459459,0.061224489795918435,0.14656771799628945,0.07763885271262048,0.7885805580170064
const,Dx_to_Relapse,Mono_DC->Mono_DC,0.9459459459459459,0.16326530612244905,0.20593692022263452,0.20410018468552107,0.7999272826431261
const,Dx_to_Relapse,Mono_DC->Erythroid,0.5675675675675675,0.10204081632653073,0.1706864564007421,0.298317318506518,0.3420546176714887
const,Dx_to_Relapse,Mono_DC->Megakaryocyte,0.08108108108108109,0.0,0.05380333951762523,0.0,
const,Dx_to_Relapse,Mono_DC->T_NK,0.8648648648648649,0.18367346938775508,0.26530612244897955,0.21158739315978173,0.8680737857054307
const,Dx_to_Relapse,Mono_DC->B_Plasma,0.6756756756756757,0.04081632653061229,0.1948051948051948,0.3700989473786461,0.11028490305013848
const,Dx_to_Relapse,Erythroid->HSC_MPP,0.5405405405405406,0.22448979591836737,0.33209647495361777,0.3484741753420402,0.6442078403601138
const,Dx_to_Relapse,Erythroid->LMPP_GMP,0.6486486486486487,0.30612244897959184,0.2532467532467532,0.3665317692152757,0.8351866732725055
const,Dx_to_Relapse,Erythroid->Mono_DC,0.6486486486486487,0.12244897959183676,0.2727272727272727,0.4157732144694765,0.29450906246589437
const,Dx_to_Relapse,Erythroid->Erythroid,0.43243243243243246,0.020408163265306145,0.1224489795918367,0.2963434985967754,0.06886658003951976
const,Dx_to_Relapse,Erythroid->Megakaryocyte,0.05405405405405406,0.0,0.01855287569573284,0.0,
const,Dx_to_Relapse,Erythroid->T_NK,0.5405405405405406,0.20408163265306123,0.31354359925788494,0.4077641833773415,0.5004893538288179
const,Dx_to_Relapse,Erythroid->B_Plasma,0.5675675675675675,0.04081632653061218,0.1966604823747681,0.3918637900368821,0.10415947471638183
const,Dx_to_Relapse,Megakaryocyte->HSC_MPP,0.05405405405405406,0.0,0.03896103896103897,0.0,
const,Dx_to_Relapse,Megakaryocyte->LMPP_GMP,0.08108108108108109,0.0,0.014842300556586268,0.0,
const,Dx_to_Relapse,Megakaryocyte->Mono_DC,0.08108108108108109,0.0,0.07977736549165121,0.0,
