dataset,sample,healthy,paired,diag_mass,dist_to_identity,dist_to_product,frobenius_score
GSE289435,GSM8791434_MLL_17746,False,False,0.14285714309444714,0.990844927423915,0.20701017375199368,0.009022219384141645
GSE289435,GSM8791435_MLL_17843,False,False,0.36399932295155346,0.8484269242414857,0.5350870693881992,0.028150110521847627
GSE289435,GSM8791436_MLL_17844,False,False,0.1429748037584254,0.9963748760507741,0.1916497491277092,0.03242686495079047
GSE289435,GSM8791437_MLL_28824,False,False,0.17375820751567314,0.9979251004756879,0.3557081989048833,0.03818166072283649
GSE289435,GSM8791438_MLL_28830,False,False,0.09003663030658403,1.0709816366811848,0.32870349157600814,0.08666561477462636
GSE289435,GSM8791439_MLL_28855,False,False,0.315092816787732,0.8657198484289801,0.4060785881578693,0.08522264422564461
GSE289435,GSM8791441_MLL_29532,False,False,0.19670168507377805,0.9768153641817974,0.22886137602784284,0.08142090418431497
GSE289435,GSM8791442_MLL_29538,False,False,0.20514538888268358,0.9778949188339652,0.18271837228121754,0.07227140181277403
GSE289435,GSM8791444_MLL_30886,False,False,0.3104386633286167,0.9423563156738662,0.34635746241019993,0.10424363133510955
Petti2019,508084,False,False,0.14299534075653478,1.0917542196036385,0.42622483674564177,0.06501949465680643
Petti2019,548327,False,False,0.2527472528695205,0.9517601238318641,0.22377536695212938,0.033830901338529465
Petti2019,721214,False,False,0.12479915824197615,1.1559465306647922,0.4654789303175091,0.11832963251171988
Petti2019,782328,False,False,0.2084424193135101,0.9982478764734669,0.1453171966286902,0.04365371191792159
Petti2019,809653,False,False,0.013603153239761613,1.1962744571891326,0.31972122003495523,0.2513309915983811
