arm,sample,uid_patient,retest,median_to_other_patients,n_edges_half
corrot,1886_MRD,GSE227903:1886,0.03411977269440737,0.27702239516067634,24
corrot,1886_R,GSE227903:1886,0.09185754247255544,0.304310050340757,34
corrot,3853_Dg,GSE227903:3853,0.16561337202640264,0.37043558965190465,14
corrot,3853_R,GSE227903:3853,0.1792930269022226,0.35064875202704493,16
corrot,3904_Dg,GSE227903:3904,0.06389634406121882,0.27663625332456104,21
corrot,3904_MRD,GSE227903:3904,0.04122933445906551,0.3420843916028179,33
corrot,3904_R,GSE227903:3904,0.15702956345402055,0.29869647731850757,23
corrot,40389_Dg,GSE227903:40389,0.09580901196803278,0.28738393076127683,34
corrot,40389_MRD,GSE227903:40389,0.037852657423916414,0.39517662232420026,16
corrot,40389_R,GSE227903:40389,0.05832855327934238,0.2747437550288919,33
corrot,4978_Dg,GSE227903:4978,0.09091180689624472,0.26045002205358747,24
corrot,4978_MRD,GSE227903:4978,0.04942979810323414,0.39009238492839915,23
corrot,4978_R,GSE227903:4978,0.024137589214058962,0.5649658432190696,7
corrot,5143_Dg,GSE227903:5143,0.06555673683875644,0.31961237651446134,16
corrot,5143_R,GSE227903:5143,0.04600359629528998,0.33732000154839414,15
corrot,5750_Dg,GSE227903:5750,0.02155975440140952,0.27341932539333386,24
corrot,5750_MRD,GSE227903:5750,0.28064582512969716,0.3184593316845351,24
corrot,5750_R,GSE227903:5750,0.029712599766066418,0.33706064629625804,33
corrot,6323_Dg,GSE227903:6323,0.1082173492573693,0.3168154696973412,15
corrot,6323_MRD,GSE227903:6323,0.07370815093030404,0.33009873505205156,32
corrot,6323_R,GSE227903:6323,0.131304228509023,0.3070407590964426,21
corrot,AML328-D0,GSE116256:AML328,0.1442494916178278,0.34285569372796815,19
corrot,AML328-D29,GSE116256:AML328,0.039822845647382234,0.46680825417117855,13
corrot,AML329-D0,GSE116256:AML329,0.23417730267682718,0.5588908407307345,5
corrot,AML329-D20,GSE116256:AML329,0.2019388361685307,0.44476616582237727,7
corrot,AML556-D0,GSE116256:AML556,0.17537750225824078,0.6228505498180429,13
corrot,AML556-D31,GSE116256:AML556,0.3540448188467299,0.4985035687078877,18
corrot,AML707B-D0,GSE116256:AML707B,0.08503154243507904,0.5439900608776519,8
corrot,AML707B-D113,GSE116256:AML707B,0.11990829117057546,0.6556785751533861,7
corrot,GSM6085177_AML01M4_P,GSE201966:AML01M4,0.11540339256885147,0.3220033831289798,22
corrot,GSM6085178_AML01M4_RE,GSE201966:AML01M4,0.061455703866810305,0.349589792172172,32
corrot,GSM6085181_AML03M5_P,GSE201966:AML03M5,0.052121262828606185,0.5295530431170864,15
corrot,GSM6085182_AML03M5_RE,GSE201966:AML03M5,0.04882067268759609,0.5038248428569617,16
dwot_shipped,1216_Dg,GSE227903:1216,0.03548744147733946,0.15520197336920305,29
dwot_shipped,1216_MRD,GSE227903:1216,0.017560119812058073,0.12277061269714029,24
dwot_shipped,1216_R,GSE227903:1216,0.03359190733754592,0.13772025588919448,31
dwot_shipped,1886_Dg,GSE227903:1886,0.03525236666663979,0.1560495575827336,33
dwot_shipped,1886_MRD,GSE227903:1886,0.025205498537745823,0.1309357750343134,24
dwot_shipped,1886_R,GSE227903:1886,0.04758149968399856,0.14281729984827177,34
dwot_shipped,3853_Dg,GSE227903:3853,0.09567403188009162,0.17734555087143075,14
dwot_shipped,3853_R,GSE227903:3853,0.1268388324445287,0.1758824775831297,16
dwot_shipped,3904_Dg,GSE227903:3904,0.04081200689285829,0.13417273711921865,21
dwot_shipped,3904_MRD,GSE227903:3904,0.027651077508645174,0.15415732245209068,33
dwot_shipped,3904_R,GSE227903:3904,0.07411423666393843,0.14521433115082083,23
dwot_shipped,40389_Dg,GSE227903:40389,0.044354427250646734,0.12431428847493184,34
dwot_shipped,40389_MRD,GSE227903:40389,0.02466458223778912,0.16565174602008048,16
dwot_shipped,40389_R,GSE227903:40389,0.028736479725114956,0.12710139741057197,33
dwot_shipped,4978_Dg,GSE227903:4978,0.041228377149744234,0.13099342677373751,24
dwot_shipped,4978_MRD,GSE227903:4978,0.02491826500213724,0.16378032537911957,23
dwot_shipped,4978_R,GSE227903:4978,0.019329193620837598,0.2450569647071148,7
dwot_shipped,5143_Dg,GSE227903:5143,0.0390200061637632,0.1441349680961916,16
dwot_shipped,5143_R,GSE227903:5143,0.040031342465641766,0.152118406411483,15
dwot_shipped,5750_Dg,GSE227903:5750,0.013437880287064713,0.12695873545924763,24
dwot_shipped,5750_MRD,GSE227903:5750,0.12106933590966062,0.14777327932112694,24
dwot_shipped,5750_R,GSE227903:5750,0.013635859711860751,0.14847826460386024,33
dwot_shipped,6323_Dg,GSE227903:6323,0.05764936243025268,0.15324760698828688,15
dwot_shipped,6323_MRD,GSE227903:6323,0.038925146413349036,0.14437510387831903,32
dwot_shipped,6323_R,GSE227903:6323,0.06040390629590004,0.14545448245830195,21
dwot_shipped,AML328-D0,GSE116256:AML328,0.08235544274192508,0.16347591647464454,19
dwot_shipped,AML328-D29,GSE116256:AML328,0.029495925678792466,0.2074273171254992,13
dwot_shipped,AML329-D0,GSE116256:AML329,0.10529780945150904,0.27091534817306634,5
dwot_shipped,AML329-D20,GSE116256:AML329,0.09315881348922152,0.2153796314975187,7
dwot_shipped,AML556-D0,GSE116256:AML556,0.09001225619138245,0.23369621782803868,13
dwot_shipped,AML556-D31,GSE116256:AML556,0.12818259114139266,0.1945302362306986,18
dwot_shipped,AML707B-D0,GSE116256:AML707B,0.05684864418326278,0.23475230631425667,8
dwot_shipped,AML707B-D113,GSE116256:AML707B,0.10718390015658016,0.24593244992320462,7
dwot_shipped,GSM6085177_AML01M4_P,GSE201966:AML01M4,0.04617163661136046,0.1493042671103706,22
dwot_shipped,GSM6085178_AML01M4_RE,GSE201966:AML01M4,0.03964920426330179,0.15818033724160296,32
dwot_shipped,GSM6085181_AML03M5_P,GSE201966:AML03M5,0.02714105428957709,0.19328718020832814,15
dwot_shipped,GSM6085182_AML03M5_RE,GSE201966:AML03M5,0.035033415413441106,0.20388720977882943,16
dwot_fixed,1216_Dg,GSE227903:1216,0.030653651086111938,0.14893843460576944,29
dwot_fixed,1216_MRD,GSE227903:1216,0.015753971482024193,0.11590240953189078,24
dwot_fixed,1216_R,GSE227903:1216,0.029811520057155646,0.126923654859962,31
dwot_fixed,1886_Dg,GSE227903:1886,0.03336407882947397,0.13821961148285444,33
dwot_fixed,1886_MRD,GSE227903:1886,0.021836522461884375,0.11933216000002977,24
dwot_fixed,1886_R,GSE227903:1886,0.04348829140683404,0.13399029403453483,34
dwot_fixed,3853_Dg,GSE227903:3853,0.07653200047305607,0.16510686908275682,14
dwot_fixed,3853_R,GSE227903:3853,0.1067639115969233,0.154012051182708,16
dwot_fixed,3904_Dg,GSE227903:3904,0.034272000680499584,0.12055020319500956,21
dwot_fixed,3904_MRD,GSE227903:3904,0.023546135412580216,0.14688540887046903,33
dwot_fixed,3904_R,GSE227903:3904,0.06376908016187618,0.13190819209928445,23
dwot_fixed,40389_Dg,GSE227903:40389,0.03929488146448355,0.12354158048910556,34
dwot_fixed,40389_MRD,GSE227903:40389,0.02042443172620699,0.15336455844889146,16
dwot_fixed,40389_R,GSE227903:40389,0.025224939298753007,0.11888260483386562,33
