dataset,sample,ccc_eligible,exclude_reason,Timepoint,study_role,sample_role,l2_capable,sorted_sublib,total_cells,n_nodes_present,lymphoid_cells,immune_recv,Study,Patient_ID,uid_patient,is_longitudinal,subtype_stratum,l2_val,l2_flag
GSE185381,GSM5613759_2019-11-04-count-3,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,3152,6,1028,2118,Lasry 2023 Nat Cancer,Control0058_PAXMIJ_PAUMTZc,GSE185381:Control0058_PAXMIJ_PAUMTZc,FALSE,other,TRUE,TRUE
GSE185381,GSM5613760_2019-11-19-count-1,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,6897,6,1204,6495,Lasry 2023 Nat Cancer,AML038,GSE185381:AML038,FALSE,other,TRUE,TRUE
GSE185381,GSM5613761_2019-11-19-count-2,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,6778,6,1157,6360,Lasry 2023 Nat Cancer,AML028,GSE185381:AML028,FALSE,other,TRUE,TRUE
GSE185381,GSM5613762_2019-11-26-count-1,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,7784,7,2498,5779,Lasry 2023 Nat Cancer,AML073_AML006_AML025_AML003a,GSE185381:AML073_AML006_AML025_AML003a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613763_2019-11-26-count-2,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,7300,6,2277,5493,Lasry 2023 Nat Cancer,AML073_AML006_AML025_AML003b,GSE185381:AML073_AML006_AML025_AML003b,FALSE,other,TRUE,TRUE
GSE185381,GSM5613764_2020-01-03-count-1,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,6592,6,1292,3463,Lasry 2023 Nat Cancer,AML012_AML005_AML055_AML048a,GSE185381:AML012_AML005_AML055_AML048a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613765_2020-01-03-count-2,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,7219,6,1390,3837,Lasry 2023 Nat Cancer,AML055,GSE185381:AML055,FALSE,other,TRUE,TRUE
GSE185381,GSM5613766_2020-03-18-AML0048-c1,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,1752,7,217,1477,Lasry 2023 Nat Cancer,AML0048-c1,GSE185381:AML0048-c1,FALSE,other,TRUE,TRUE
GSE185381,GSM5613767_2020-03-18-AML0048-c2,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,1851,7,229,1519,Lasry 2023 Nat Cancer,AML0048-c2,GSE185381:AML0048-c2,FALSE,other,TRUE,TRUE
GSE185381,GSM5613768_2020-03-18-AML3266,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,1206,4,437,942,Lasry 2023 Nat Cancer,AML3266,GSE185381:AML3266,FALSE,other,TRUE,TRUE
GSE185381,GSM5613769_2020-03-18-count-1,TRUE,"",Unknown,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,5293,6,1686,3102,Lasry 2023 Nat Cancer,Control0082_AML052_AML022a,GSE185381:Control0082_AML052_AML022a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613770_2020-03-18-count-2,TRUE,"",Unknown,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,4911,6,1434,2841,Lasry 2023 Nat Cancer,Control0082_AML052_AML022b,GSE185381:Control0082_AML052_AML022b,FALSE,other,TRUE,TRUE
GSE185381,GSM5613771_2020-03-18-count-3,TRUE,"",Unknown,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,4741,6,1583,2960,Lasry 2023 Nat Cancer,Control0082_AML052_AML022c,GSE185381:Control0082_AML052_AML022c,FALSE,other,TRUE,TRUE
GSE185381,GSM5613774_2020-08-26-Control4003-c1,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,942,3,608,922,Lasry 2023 Nat Cancer,Control4003a,GSE185381:Control4003a,FALSE,other,TRUE,TRUE
