dataset,sample,node,status,masked_by,abundance_unreliable,n_cells
GSE116256,AML371-D0,Mono_DC,present,,FALSE,
GSE116256,AML371-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML371-D0,T_NK,present,,FALSE,
GSE116256,AML371-D34,B_Plasma,present,,FALSE,
GSE116256,AML371-D34,Erythroid,present,,FALSE,
GSE116256,AML371-D34,HSC_MPP,present,,FALSE,
GSE116256,AML371-D34,LMPP_GMP,present,,FALSE,
GSE116256,AML371-D34,Megakaryocyte,present,,FALSE,
GSE116256,AML371-D34,Mono_DC,present,,FALSE,
GSE116256,AML371-D34,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML371-D34,T_NK,present,,FALSE,
GSE116256,AML419A-D0,B_Plasma,present,,FALSE,
GSE116256,AML419A-D0,Erythroid,present,,FALSE,
GSE116256,AML419A-D0,HSC_MPP,present,,FALSE,
GSE116256,AML419A-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML419A-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML419A-D0,Mono_DC,present,,FALSE,
GSE116256,AML419A-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML419A-D0,T_NK,present,,FALSE,
GSE116256,AML420B-D0,B_Plasma,present,,FALSE,
GSE116256,AML420B-D0,Erythroid,present,,FALSE,
GSE116256,AML420B-D0,HSC_MPP,present,,FALSE,
GSE116256,AML420B-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML420B-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML420B-D0,Mono_DC,present,,FALSE,
GSE116256,AML420B-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML420B-D0,T_NK,present,,FALSE,
GSE116256,AML420B-D14,B_Plasma,present,,FALSE,
GSE116256,AML420B-D14,Erythroid,present,,FALSE,
GSE116256,AML420B-D14,HSC_MPP,present,,FALSE,
GSE116256,AML420B-D14,LMPP_GMP,present,,FALSE,
GSE116256,AML420B-D14,Megakaryocyte,present,,FALSE,
GSE116256,AML420B-D14,Mono_DC,present,,FALSE,
GSE116256,AML420B-D14,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML420B-D14,T_NK,present,,FALSE,
GSE116256,AML420B-D35,B_Plasma,present,,FALSE,
GSE116256,AML420B-D35,Erythroid,present,,FALSE,
GSE116256,AML420B-D35,HSC_MPP,present,,FALSE,
GSE116256,AML420B-D35,LMPP_GMP,present,,FALSE,
GSE116256,AML420B-D35,Megakaryocyte,present,,FALSE,
GSE116256,AML420B-D35,Mono_DC,present,,FALSE,
GSE116256,AML420B-D35,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML420B-D35,T_NK,present,,FALSE,
GSE116256,AML475-D0,B_Plasma,present,,FALSE,
GSE116256,AML475-D0,Erythroid,present,,FALSE,
GSE116256,AML475-D0,HSC_MPP,present,,FALSE,
GSE116256,AML475-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML475-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML475-D0,Mono_DC,present,,FALSE,
GSE116256,AML475-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML475-D0,T_NK,present,,FALSE,
GSE116256,AML475-D29,B_Plasma,present,,FALSE,
GSE116256,AML475-D29,Erythroid,present,,FALSE,
GSE116256,AML475-D29,HSC_MPP,present,,FALSE,
GSE116256,AML475-D29,LMPP_GMP,present,,FALSE,
GSE116256,AML475-D29,Megakaryocyte,present,,FALSE,
GSE116256,AML475-D29,Mono_DC,present,,FALSE,
GSE116256,AML475-D29,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML475-D29,T_NK,present,,FALSE,
GSE116256,AML556-D0,B_Plasma,present,,FALSE,
GSE116256,AML556-D0,Erythroid,present,,FALSE,
GSE116256,AML556-D0,HSC_MPP,present,,FALSE,
GSE116256,AML556-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML556-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML556-D0,Mono_DC,present,,FALSE,
GSE116256,AML556-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML556-D0,T_NK,present,,FALSE,
GSE116256,AML556-D15,B_Plasma,present,,FALSE,
GSE116256,AML556-D15,Erythroid,present,,FALSE,
GSE116256,AML556-D15,HSC_MPP,present,,FALSE,
GSE116256,AML556-D15,LMPP_GMP,present,,FALSE,
GSE116256,AML556-D15,Megakaryocyte,present,,FALSE,
GSE116256,AML556-D15,Mono_DC,present,,FALSE,
GSE116256,AML556-D15,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML556-D15,T_NK,present,,FALSE,
GSE116256,AML556-D31,B_Plasma,present,,FALSE,
GSE116256,AML556-D31,Erythroid,present,,FALSE,
GSE116256,AML556-D31,HSC_MPP,present,,FALSE,
GSE116256,AML556-D31,LMPP_GMP,present,,FALSE,
GSE116256,AML556-D31,Megakaryocyte,present,,FALSE,
GSE116256,AML556-D31,Mono_DC,present,,FALSE,
GSE116256,AML556-D31,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML556-D31,T_NK,present,,FALSE,
GSE116256,AML707B-D0,B_Plasma,present,,FALSE,
GSE116256,AML707B-D0,Erythroid,present,,FALSE,
GSE116256,AML707B-D0,HSC_MPP,present,,FALSE,
GSE116256,AML707B-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML707B-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML707B-D0,Mono_DC,present,,FALSE,
GSE116256,AML707B-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML707B-D0,T_NK,present,,FALSE,
GSE116256,AML707B-D113,B_Plasma,present,,FALSE,
GSE116256,AML707B-D113,Erythroid,present,,FALSE,
GSE116256,AML707B-D113,HSC_MPP,present,,FALSE,
GSE116256,AML707B-D113,LMPP_GMP,present,,FALSE,
GSE116256,AML707B-D113,Megakaryocyte,present,,FALSE,
GSE116256,AML707B-D113,Mono_DC,present,,FALSE,
GSE116256,AML707B-D113,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML707B-D113,T_NK,present,,FALSE,
GSE116256,AML707B-D18,B_Plasma,present,,FALSE,
GSE116256,AML707B-D18,Erythroid,present,,FALSE,
GSE116256,AML707B-D18,HSC_MPP,present,,FALSE,
GSE116256,AML707B-D18,LMPP_GMP,present,,FALSE,
GSE116256,AML707B-D18,Megakaryocyte,present,,FALSE,
GSE116256,AML707B-D18,Mono_DC,present,,FALSE,
GSE116256,AML707B-D18,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML707B-D18,T_NK,present,,FALSE,
GSE116256,AML707B-D41,B_Plasma,present,,FALSE,
GSE116256,AML707B-D41,Erythroid,present,,FALSE,
GSE116256,AML707B-D41,HSC_MPP,present,,FALSE,
GSE116256,AML707B-D41,LMPP_GMP,present,,FALSE,
GSE116256,AML707B-D41,Megakaryocyte,present,,FALSE,
GSE116256,AML707B-D41,Mono_DC,present,,FALSE,
GSE116256,AML707B-D41,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML707B-D41,T_NK,present,,FALSE,
GSE116256,AML707B-D97,B_Plasma,present,,FALSE,
GSE116256,AML707B-D97,Erythroid,present,,FALSE,
GSE116256,AML707B-D97,HSC_MPP,present,,FALSE,
GSE116256,AML707B-D97,LMPP_GMP,present,,FALSE,
GSE116256,AML707B-D97,Megakaryocyte,present,,FALSE,
GSE116256,AML707B-D97,Mono_DC,present,,FALSE,
GSE116256,AML707B-D97,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML707B-D97,T_NK,present,,FALSE,
GSE116256,AML722B-D0,B_Plasma,present,,FALSE,
GSE116256,AML722B-D0,Erythroid,present,,FALSE,
GSE116256,AML722B-D0,HSC_MPP,present,,FALSE,
GSE116256,AML722B-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML722B-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML722B-D0,Mono_DC,present,,FALSE,
