dataset,sample,timepoint,hierarchy_bin,in_ccc_graph,n_cells,n_evaluable,n_malignant,malignant_frac,frac_high_error
GSE239721,PT20A,,T_NK,TRUE,1,1,0,0,0
GSE239721,PT20A,,B_Plasma,TRUE,1,1,0,0,0
GSE239721,PT20A,,Stromal,FALSE,1,1,1,1,0
GSE239721,PT20A,,Unassigned,FALSE,9,9,0,0,0
GSE239721,PT21A,,HSC_MPP,TRUE,647,647,0,0,0.2272
GSE239721,PT21A,,LMPP_GMP,TRUE,2017,2017,2,0.001,0.0654
GSE239721,PT21A,,Mono_DC,TRUE,493,493,0,0,0.0284
GSE239721,PT21A,,Erythroid,TRUE,56,56,1,0.0179,0.0536
GSE239721,PT21A,,Megakaryocyte,TRUE,0,0,0,,
GSE239721,PT21A,,T_NK,TRUE,122,122,5,0.041,0.1721
GSE239721,PT21A,,B_Plasma,TRUE,2,2,0,0,0
GSE239721,PT21A,,Stromal,FALSE,0,0,0,,
GSE239721,PT21A,,Unassigned,FALSE,136,136,6,0.0441,0
GSE239721,PT22A,,HSC_MPP,TRUE,704,704,2,0.0028,0.223
GSE239721,PT22A,,LMPP_GMP,TRUE,705,705,5,0.0071,0.0936
GSE239721,PT22A,,Mono_DC,TRUE,28,28,2,0.0714,0
GSE239721,PT22A,,Erythroid,TRUE,128,128,1,0.0078,0.0781
GSE239721,PT22A,,Megakaryocyte,TRUE,0,0,0,,
GSE239721,PT22A,,T_NK,TRUE,51,51,0,0,0.1961
GSE239721,PT22A,,B_Plasma,TRUE,8,8,3,0.375,0
GSE239721,PT22A,,Stromal,FALSE,1,1,0,0,0
GSE239721,PT22A,,Unassigned,FALSE,37,37,5,0.1351,0
GSE239721,PT23A,,HSC_MPP,TRUE,334,334,3,0.009,0.4731
GSE239721,PT23A,,LMPP_GMP,TRUE,3577,3577,14,0.0039,0.1202
GSE239721,PT23A,,Mono_DC,TRUE,304,304,1,0.0033,0.1809
GSE239721,PT23A,,Erythroid,TRUE,144,144,1,0.0069,0.1736
GSE239721,PT23A,,Megakaryocyte,TRUE,0,0,0,,
GSE239721,PT23A,,T_NK,TRUE,11,11,3,0.2727,0.1818
GSE239721,PT23A,,B_Plasma,TRUE,6,6,0,0,0.1667
GSE239721,PT23A,,Stromal,FALSE,8,8,0,0,0.25
GSE239721,PT23A,,Unassigned,FALSE,67,67,0,0,0
GSE239721,PT26A,,HSC_MPP,TRUE,819,819,2,0.0024,0.1074
GSE239721,PT26A,,LMPP_GMP,TRUE,253,253,0,0,0.1028
GSE239721,PT26A,,Mono_DC,TRUE,39,39,0,0,0.0513
GSE239721,PT26A,,Erythroid,TRUE,26,26,0,0,0.0385
GSE239721,PT26A,,Megakaryocyte,TRUE,7,7,0,0,0
GSE239721,PT26A,,T_NK,TRUE,9,9,0,0,0.2222
GSE239721,PT26A,,B_Plasma,TRUE,3,3,0,0,0
