dataset,sample,rds,timepoint,uid_patient,study,is_healthy_donor,timepoint_raw,timepoint_was_fixed,in_selection,dataset_role,in_primary_contrast,n_ccc_cells,is_patient_representative
GSE185381,GSM5613804_2021-04-29-2910_cDNA,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613804_2021-04-29-2910_cDNA.rds,Diagnosis,GSE185381:AML2910,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,2009,TRUE
GSE185381,GSM5613805_2021-04-29-2975_cDNA,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613805_2021-04-29-2975_cDNA.rds,Diagnosis,GSE185381:AML2975,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,726,TRUE
GSE185381,GSM5613768_2020-03-18-AML3266,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613768_2020-03-18-AML3266.rds,Diagnosis,GSE185381:AML3266,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,1206,TRUE
GSE185381,GSM5613786_2021-03-09-AMLMS3730,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613786_2021-03-09-AMLMS3730.rds,Diagnosis,GSE185381:AML3730,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,4292,TRUE
GSE185381,GSM5613746_2019-07-01-count-3,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613746_2019-07-01-count-3.rds,Diagnosis,GSE185381:AML3762,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,7187,TRUE
GSE185381,GSM5613785_2021-03-09-AML3948,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613785_2021-03-09-AML3948.rds,Diagnosis,GSE185381:AML3948,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,6179,TRUE
GSE185381,GSM5613806_2021-04-29-3948_cDNA,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613806_2021-04-29-3948_cDNA.rds,Diagnosis,GSE185381:AML3948,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,2019,FALSE
GSE185381,GSM5613780_2020-10-06-AML4897,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613780_2020-10-06-AML4897.rds,Diagnosis,GSE185381:AML4897,Lasry 2023 Nat Cancer,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,2231,TRUE
GSE185381,GSM5613791_2019-10-21-1-Control0004,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613791_2019-10-21-1-Control0004.rds,Healthy,GSE185381:Control0004,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,10690,TRUE
GSE185381,GSM5613781_2020-10-06-count2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613781_2020-10-06-count2.rds,Unknown,GSE185381:Control0005_AML009a,Lasry 2023 Nat Cancer,FALSE,Unknown,FALSE,TRUE,core,FALSE,3389,
GSE185381,GSM5613787_2021-03-09-count1_0.95,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613787_2021-03-09-count1_0.95.rds,Unknown,GSE185381:Control0005_AML009b,Lasry 2023 Nat Cancer,FALSE,Unknown,FALSE,TRUE,core,FALSE,2185,
GSE185381,GSM5613757_2019-11-04-count-1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613757_2019-11-04-count-1.rds,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZa,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,3708,TRUE
