dataset,sample,pathway,score,pair_id,arm,family,short,arm_s
GSE116256,AML916-D0,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0614387528341941,2,TP53-mut,TGF-beta signalling,TGF BETA SIGNALING,mut
GSE116256,AML916-D0,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0672564261695158,2,TP53-mut,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",mut
GSE116256,AML916-D0,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0336533523208605,2,TP53-mut,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",mut
GSE116256,AML916-D0,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0180221350825053,2,TP53-mut,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",mut
GSE116256,AML916-D0,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0109453401447437,2,TP53-mut,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",mut
GSE116256,AML916-D0,REACTOME_COLLAGEN_FORMATION_UCell,0.0100427767927018,2,TP53-mut,ECM organisation / receptor,COLLAGEN FORMATION,mut
GSE116256,AML916-D0,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.019274423344855,2,TP53-mut,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",mut
GSE116256,AML916-D0,HALLMARK_HYPOXIA_UCell,0.0567461674870856,2,TP53-mut,Hypoxia,HYPOXIA,mut
GSE116256,AML916-D0,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0276065947347674,2,TP53-mut,Inflammatory response,INFLAMMATORY RESPONSE,mut
GSE116256,AML916-D0,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.0539676404186906,2,TP53-mut,Inflammatory response,"TNFA SIGNALING VIA
NFKB",mut
GSE116256,AML916-D0,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0310253394066019,2,TP53-mut,Inflammatory response,"IL6 JAK STAT3
SIGNALING",mut
GSE227903,1886_R,HALLMARK_TGF_BETA_SIGNALING_UCell,0.126467508899785,7,TP53-mut,TGF-beta signalling,TGF BETA SIGNALING,mut
GSE227903,1886_R,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0992232821085136,7,TP53-mut,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",mut
GSE227903,1886_R,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0554412840072135,7,TP53-mut,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",mut
GSE227903,1886_R,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0324857966304799,7,TP53-mut,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",mut
GSE227903,1886_R,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0225752709206741,7,TP53-mut,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",mut
GSE227903,1886_R,REACTOME_COLLAGEN_FORMATION_UCell,0.0182064340782403,7,TP53-mut,ECM organisation / receptor,COLLAGEN FORMATION,mut
GSE227903,1886_R,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.051300800609676,7,TP53-mut,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",mut
GSE227903,1886_R,HALLMARK_HYPOXIA_UCell,0.0916867541620573,7,TP53-mut,Hypoxia,HYPOXIA,mut
GSE227903,1886_R,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0800776760899567,7,TP53-mut,Inflammatory response,INFLAMMATORY RESPONSE,mut
GSE227903,1886_R,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.162537813172765,7,TP53-mut,Inflammatory response,"TNFA SIGNALING VIA
NFKB",mut
GSE227903,1886_R,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0662305522274957,7,TP53-mut,Inflammatory response,"IL6 JAK STAT3
SIGNALING",mut
GSE227903,3853_R,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0896163578817795,8,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
GSE227903,3853_R,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0877321938741876,8,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
GSE227903,3853_R,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0405661514795888,8,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
GSE227903,3853_R,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0302016112032218,8,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
GSE227903,3853_R,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0179001559951388,8,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
GSE227903,3853_R,REACTOME_COLLAGEN_FORMATION_UCell,0.0178077034814745,8,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
GSE227903,3853_R,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0418290318782682,8,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
GSE227903,3853_R,HALLMARK_HYPOXIA_UCell,0.0886165851981768,8,TP53-WT,Hypoxia,HYPOXIA,WT
GSE227903,3853_R,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.042455760715407,8,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
