feature,median_p,min_p,frac_p05,frac_p01,n_draws_evaluable,kind,design,mut_def,n_mut_units,n_wt_candidates
TIMP1,0.212890625,0.001953125,0.186,0.046,500,gene,A_sample_strict,strict,9,96
TIMP2,0.787109375,0.326171875,0,0,500,gene,A_sample_strict,strict,9,96
TIMP3,0.212890625,0.013671875,0.178,0,500,gene,A_sample_strict,strict,9,96
TNC,0.455078125,0.01953125,0.008,0,500,gene,A_sample_strict,strict,9,96
TNF,0.08203125,0.001953125,0.326,0.204,500,gene,A_sample_strict,strict,9,96
TWIST1,0.80859375,0.15625,0,0,500,gene,A_sample_strict,strict,9,96
VCAM1,0.7265625,0.15625,0,0,500,gene,A_sample_strict,strict,9,96
VCAN,0.751953125,0.150390625,0,0,500,gene,A_sample_strict,strict,9,96
VEGFA,0.849609375,0.41015625,0,0,500,gene,A_sample_strict,strict,9,96
VIM,0.849609375,0.5,0,0,500,gene,A_sample_strict,strict,9,96
VSIG4,0.08203125,0.009765625,0.448,0.04,500,gene,A_sample_strict,strict,9,96
VWF,0.7265625,0.125,0,0,500,gene,A_sample_strict,strict,9,96
ZEB1,0.064453125,0.001953125,0.444,0.166,500,gene,A_sample_strict,strict,9,96
ZEB2,0.91796875,0.5,0,0,500,gene,A_sample_strict,strict,9,96
ACTA2,0.5,0.046875,0.036,0,500,gene,B_patient_strict,strict,6,75
ADAMTS1,0.78125,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
ADM,0.21875,0.015625,0.162,0,500,gene,B_patient_strict,strict,6,75
ANGPT1,0.28125,0.015625,0.122,0,500,gene,B_patient_strict,strict,6,75
ASPN,0.578125,0.03125,0.01,0,500,gene,B_patient_strict,strict,6,75
BGLAP,0.578125,0.03125,0.058,0,500,gene,B_patient_strict,strict,6,75
BGN,0.3125,0.03125,0.074,0,500,gene,B_patient_strict,strict,6,75
BNIP3,0.65625,0.015625,0.012,0,500,gene,B_patient_strict,strict,6,75
C1QA,0.3125,0.03125,0.086,0,500,gene,B_patient_strict,strict,6,75
