dataset,sample,n_cells_total,n_mono_dc,n_macrophage_like,n_monocyte_like,mac_score_p50,mac_score_p90,n_mac_markers_present,timepoint,uid_patient,mac_node_usable
GSE185381,GSM5613760_2019-11-19-count-1,7271,5468,2,5465,0.094308444396965,0.297947347029062,10,Diagnosis,GSE185381:AML038,FALSE
GSE185381,GSM5613761_2019-11-19-count-2,7110,5363,2,5361,0.0942701643237358,0.304965055770366,10,Diagnosis,GSE185381:AML028,FALSE
GSE185381,GSM5613767_2020-03-18-AML0048-c2,2004,1302,2,1297,0,0.194220061800599,10,Diagnosis,GSE185381:AML0048-c2,FALSE
GSE185381,GSM5613770_2020-03-18-count-2,5230,1414,2,1397,0,0.197477728265119,10,Unknown,GSE185381:Control0082_AML052_AML022b,FALSE
GSE185381,GSM5613787_2021-03-09-count1_0.95,2430,879,2,873,0,0.179730301387815,10,Unknown,GSE185381:Control0005_AML009b,FALSE
GSE185381,GSM5613789_2021-03-09-Z-1-2,970,72,2,69,0,0.202309169994364,10,Diagnosis,GSE185381:AML0114b,FALSE
GSE185991,GSM5628167_M07,1371,20,2,9,0,0.282625312887636,10,Diagnosis,GSE185991:PT06,FALSE
GSE185991,GSM5628181_M31,3289,19,2,17,0,0.151001865685402,10,Relapse,GSE185991:PT08,FALSE
GSE185991,GSM5628183_M33,2439,901,2,899,0.102507700829588,0.293032364480389,10,Diagnosis,GSE185991:PT10,FALSE
GSE185991,GSM6412451_M88,3561,9,2,6,0,0.093768518746995,10,Diagnosis,GSE185991:PT18,FALSE
GSE227903,3904_MRD,2301,1758,2,1751,0,0.0745396948396562,10,MRD,GSE227903:3904,FALSE
GSE227903,5750_Dg,4202,413,2,405,0,0.0799750934042409,10,Diagnosis,GSE227903:5750,FALSE
GSE239721,PT20A,1002,11,2,7,0.140860239086312,0.189987343908586,10,Diagnosis,GSE239721:PT20A,FALSE
GSE239721,PT32A,1725,1493,2,1489,0.250346115056977,0.450329111504441,10,Diagnosis,GSE239721:PT32A,FALSE
GSE253355,GSM8019214_H23,5113,386,2,381,0,0,10,Healthy,GSE253355:H23,FALSE
GSE289435,GSM8791439_MLL_28855,4892,1663,2,1497,0,0,10,Diagnosis,GSE289435:MLL_28855,FALSE
Petti2019,721214,13149,28,2,24,0,0.114111441239154,10,Diagnosis,Petti2019:721214,FALSE
Chen2023,AML162_CD34,2275,1355,1,1348,0,0.177757158401419,9,Diagnosis,Chen2023:AML162,FALSE
Chen2023,AML304_CD34,2668,1572,1,1562,0,0.115940928112357,9,Diagnosis,Chen2023:AML304,FALSE
Chen2023,AML320_NICHE_IMMUNE,7100,16,1,14,0,0,9,Diagnosis,Chen2023:AML320,FALSE
Chen2023,NBM4_Niche_Immune,3132,21,1,19,0,0.103724518395641,9,Healthy,Chen2023:NBM4,FALSE
E-MTAB-11536,637C-BLD,664,30,1,29,0.327341412061103,0.537215025932915,10,Healthy,E-MTAB-11536:637C,FALSE
GSE116256,AML1012-D0,931,336,1,327,0,0.193705692868037,10,Diagnosis,GSE116256:AML1012,FALSE
GSE116256,AML371-D0,514,306,1,305,0,0.126692169589784,10,Diagnosis,GSE116256:AML371,FALSE
GSE116256,AML556-D0,1554,1254,1,1251,0,0.116753334238944,10,Diagnosis,GSE116256:AML556,FALSE
GSE116256,AML707B-D0,1215,20,1,16,0,0.219423468335475,10,Diagnosis,GSE116256:AML707B,FALSE
GSE185381,GSM5613745_2019-07-01-count-2,8352,2169,1,2166,0,0.149653917255413,10,Diagnosis,GSE185381:AML0612_AML3762_AML0160_AML0310_AML3134b,FALSE
GSE185381,GSM5613766_2020-03-18-AML0048-c1,1888,1266,1,1264,0,0.192996832701341,10,Diagnosis,GSE185381:AML0048-c1,FALSE
GSE185381,GSM5613768_2020-03-18-AML3266,1468,537,1,474,0,0,10,Diagnosis,GSE185381:AML3266,FALSE
GSE185381,GSM5613771_2020-03-18-count-3,5008,1383,1,1375,0,0.180471003638002,10,Unknown,GSE185381:Control0082_AML052_AML022c,FALSE
GSE185381,GSM5613774_2020-08-26-Control4003-c1,1014,314,1,307,0,0.171486136393668,10,Healthy,GSE185381:Control4003a,FALSE
GSE185381,GSM5613776_2020-08-26-Control4003-c3,1952,953,1,946,0,0.176734939874745,10,Healthy,GSE185381:Control4003c,FALSE
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,2617,296,1,293,0,0.157513201802266,10,Diagnosis,GSE185381:AML1371_AML4340a,FALSE
GSE185381,GSM5613781_2020-10-06-count2,3817,780,1,776,0,0.190433195116667,10,Unknown,GSE185381:Control0005_AML009a,FALSE
GSE185991,GSM6412447_M36,3418,8,1,7,0,0.0575258060236931,10,Diagnosis,GSE185991:PT11,FALSE
GSE185991,GSM6412453_M92,2543,2074,1,2073,0.198776652777641,0.394245078470909,10,Post_treatment,GSE185991:PT17,FALSE
GSE201966,GSM6085176_AML01M4_CR,2410,21,1,20,0,0,9,Post_treatment,GSE201966:AML01M4,FALSE
GSE201966,GSM6085180_AML02M5_RE,9910,9,1,7,0,0.160627110730756,9,Relapse,GSE201966:AML02M5,FALSE
GSE201966,GSM6085182_AML03M5_RE,2844,61,1,60,0,0.357906133687101,9,Relapse,GSE201966:AML03M5,FALSE
GSE207356,GSM6284913_TS173_05_Sample_E,6089,1956,1,1954,0,0.184802009531469,10,Post_treatment,GSE207356:TS173,FALSE
GSE227903,4978_MRD,1732,417,1,415,0,0.139855871450996,10,MRD,GSE227903:4978,FALSE
GSE227903,4978_R,2035,9,1,6,0,0.0749194400302263,10,Relapse,GSE227903:4978,FALSE
GSE227903,5143_Dg,1103,449,1,448,0,0.184676619322347,10,Diagnosis,GSE227903:5143,FALSE
GSE227903,6323_R2,3783,170,1,154,0,0.0804712551302334,10,Relapse2,GSE227903:6323,FALSE
Petti2019,548327,8705,355,1,324,0,0.186812777695447,10,Diagnosis,Petti2019:548327,FALSE
Petti2019,782328,15148,12246,1,12224,0.0933509663361196,0.278729755791105,10,Diagnosis,Petti2019:782328,FALSE
Chen2023,AML103_CD34,769,703,0,703,0.109645089448967,0.310144791243669,9,Diagnosis,Chen2023:AML103,FALSE
Chen2023,AML103_Niche_Immune,1234,6,0,6,0,0.421484784560615,9,Diagnosis,Chen2023:AML103,FALSE
Chen2023,AML24_CD34,9610,9197,0,9197,0,0.272635342691068,9,Diagnosis,Chen2023:AML24,FALSE
Chen2023,AML24_Niche_Immune,2170,5,0,5,0,0.0986310100438035,9,Diagnosis,Chen2023:AML24,FALSE
Chen2023,AML320_CD34,3222,24,0,24,0,0,9,Diagnosis,Chen2023:AML320,FALSE
