dataset,sample,target,source,strength,n_lr,pair_id,arm,total,rel
GSE227903,1216_R,Mono_DC,T_NK,0.197728440148821,5,8,TP53-WT,7.85249012605633,0.0251803487778627
GSE227903,1216_R,T_NK,B_Plasma,0.360527974106966,12,8,TP53-WT,7.85249012605633,0.0459125663731372
GSE227903,1216_R,T_NK,Erythroid,0.151668902801095,7,8,TP53-WT,7.85249012605633,0.0193147524372967
GSE227903,1216_R,T_NK,HSC_MPP,0.406047236460523,15,8,TP53-WT,7.85249012605633,0.0517093596989275
GSE227903,1216_R,T_NK,LMPP_GMP,0.284506712609064,9,8,TP53-WT,7.85249012605633,0.0362314002363412
GSE227903,1216_R,T_NK,Mono_DC,0.427586916780176,12,8,TP53-WT,7.85249012605633,0.0544523978911283
GSE227903,1216_R,T_NK,T_NK,0.347295335134381,10,8,TP53-WT,7.85249012605633,0.0442274144327768
GSE227903,1886_R,B_Plasma,B_Plasma,0.120108764784613,3,7,TP53-mut,14.3985902098116,0.00834170311359837
GSE227903,1886_R,B_Plasma,Erythroid,0.339730613057067,7,7,TP53-mut,14.3985902098116,0.0235947136564498
GSE227903,1886_R,B_Plasma,HSC_MPP,0.376740595987492,11,7,TP53-mut,14.3985902098116,0.0261651030064575
GSE227903,1886_R,B_Plasma,LMPP_GMP,0.404561894519336,12,7,TP53-mut,14.3985902098116,0.0280973267954842
GSE227903,1886_R,B_Plasma,Megakaryocyte,0.221116459890727,10,7,TP53-mut,14.3985902098116,0.0153568131788383
GSE227903,1886_R,B_Plasma,Mono_DC,0.17815806574709,10,7,TP53-mut,14.3985902098116,0.0123732992710417
GSE227903,1886_R,B_Plasma,T_NK,0.151233713738366,5,7,TP53-mut,14.3985902098116,0.0105033695337278
GSE227903,1886_R,Erythroid,B_Plasma,0.0807820557337907,1,7,TP53-mut,14.3985902098116,0.00561041425283036
GSE227903,1886_R,Erythroid,Erythroid,0.0400633942389399,4,7,TP53-mut,14.3985902098116,0.00278245256342108
GSE227903,1886_R,Erythroid,HSC_MPP,0.0914937546083636,12,7,TP53-mut,14.3985902098116,0.00635435506359623
GSE227903,1886_R,Erythroid,LMPP_GMP,0.0589029299228327,9,7,TP53-mut,14.3985902098116,0.00409088175054073
GSE227903,1886_R,Erythroid,Megakaryocyte,0.0483352513804869,7,7,TP53-mut,14.3985902098116,0.00335694333099013
GSE227903,1886_R,Erythroid,Mono_DC,0.252655291676963,14,7,TP53-mut,14.3985902098116,0.0175472242764987
GSE227903,1886_R,Erythroid,T_NK,0.0257442092628812,6,7,TP53-mut,14.3985902098116,0.00178796735567475
GSE227903,1886_R,HSC_MPP,B_Plasma,0.0817131746618135,2,7,TP53-mut,14.3985902098116,0.00567508162056948
