dataset,sample,status,n_genes_used,tp53_in_universe,n_subclone_obs,n_subclone_ref,n_cells_grouped,n_cells_consensus,icnv_labelled_frac,cons_covered_frac,frac_genes_nonneutral
GSE227903,3853_Dg,ok,7302,TRUE,83,0,4934,1334,0.270368869071747,1,0.0859353601752944
GSE227903,3853_R,ok,7005,TRUE,66,0,4128,528,0.127906976744186,1,0.0786027473087736
GSE227903,3904_Dg,ok,8384,TRUE,45,6,3265,3265,1,1,0.0771658317430025
GSE227903,3904_MRD,ok,8418,TRUE,31,6,2301,2301,1,1,0.127793383925202
GSE227903,3904_R,ok,6416,TRUE,101,2,9837,9837,1,1,0.0874175946272931
GSE227903,40389_Dg,ok,7233,TRUE,31,14,3114,3114,1,1,0.180730678833126
GSE227903,40389_MRD,ok,6112,TRUE,25,43,3806,3806,1,1,0.139868291884817
GSE227903,40389_R,ok,5625,TRUE,23,55,5471,5471,1,1,0.109978213507625
GSE227903,4978_Dg,ok,8955,TRUE,41,10,2679,2679,1,1,0.158255043332605
GSE227903,4978_MRD,ok,9226,TRUE,17,11,1732,1732,1,1,0.197408591661247
GSE227903,4978_R,ok,8371,TRUE,82,0,5635,2035,0.361135758651287,1,0.136836046524256
GSE227903,5143_Dg,ok,8571,TRUE,19,4,1103,1103,1,1,0.171969709596591
GSE227903,5143_R,ok,8073,TRUE,33,13,2103,2103,1,1,0.173624014203724
GSE227903,5750_Dg,ok,7761,TRUE,118,0,7802,4202,0.538579851320174,1,0.155871952354364
GSE227903,5750_MRD,ok,8898,TRUE,28,6,2223,2223,1,1,0.155754804450438
GSE227903,5750_R,ok,6407,TRUE,47,32,5132,5132,1,1,0.0879178796741788
GSE227903,6323_Dg,ok,6959,TRUE,61,0,4204,604,0.143672692673644,1,0.0899809998243681
GSE227903,6323_MRD,ok,4689,FALSE,79,25,10615,10615,1,1,0.232937704832413
GSE227903,6323_R,ok,8706,TRUE,17,4,892,892,1,1,0.189095239822506
GSE227903,6323_R2,ok,6615,TRUE,38,32,3783,3783,1,1,0.100605967434055
GSE239721,PT17A,ok,7044,TRUE,88,0,6075,2475,0.407407407407407,1,0.115608482942384
GSE239721,PT20A,ok,5802,TRUE,68,0,4602,1002,0.217731421121252,1,0.102246531368494
GSE239721,PT21A,ok,7072,TRUE,106,0,7073,3473,0.491022197087516,1,0.115364190548014
GSE239721,PT22A,ok,7161,TRUE,81,0,5262,1662,0.315849486887115,1,0.105195412348288
GSE239721,PT23A,ok,5816,TRUE,118,0,8051,4451,0.552850577568004,1,0.11600129838409
GSE239721,PT26A,ok,7108,TRUE,77,0,4778,1178,0.246546672247802,1,0.0949997277034509
GSE239721,PT27A,ok,6210,TRUE,120,0,8791,5191,0.590490274144011,1,0.206035361004305
GSE239721,PT28A,ok,7492,TRUE,140,0,11312,7712,0.681753889674682,1,0.144548582914212
GSE239721,PT29A,ok,7120,TRUE,90,0,5793,2193,0.37856033143449,1,0.198460828074496
GSE239721,PT30A,ok,6048,TRUE,63,0,4212,612,0.145299145299145,1,0.0961697446072446
GSE239721,PT32A,ok,6149,TRUE,79,0,5325,1725,0.323943661971831,1,0.144843528564459
GSE289435,GSM8791432_MLL_14666,ok,5324,TRUE,77,16,9152,9152,1,1,0.208960484218168
GSE289435,GSM8791433_MLL_16703,ok,6809,TRUE,69,25,7930,7930,1,1,0.155540743585978
GSE289435,GSM8791434_MLL_17746,ok,4368,TRUE,79,6,5273,5273,1,1,0.182165475087162
GSE289435,GSM8791435_MLL_17843,ok,3869,FALSE,134,20,13429,13429,1,1,0.08835826004345
GSE289435,GSM8791436_MLL_17844,ok,5222,TRUE,142,0,16650,13050,0.783783783783784,1,0.205710718890425
GSE289435,GSM8791437_MLL_28824,ok,4821,TRUE,59,31,4590,4590,1,1,0.162939102212136
GSE289435,GSM8791438_MLL_28830,ok,3525,FALSE,55,11,5502,5502,1,1,0.341734860883797
GSE289435,GSM8791439_MLL_28855,ok,5591,TRUE,43,8,4892,4892,1,1,0.240522267930603
GSE289435,GSM8791441_MLL_29532,ok,2669,FALSE,13,73,5260,5260,1,1,0.11743597591544
GSE289435,GSM8791442_MLL_29538,ok,3691,FALSE,52,15,4632,4632,1,1,0.288556111097428
GSE289435,GSM8791443_MLL_30862,ok,5019,TRUE,84,0,6711,3111,0.463567277603934,1,0.192386431560072
GSE289435,GSM8791444_MLL_30886,ok,4539,FALSE,108,30,11881,11881,1,1,0.139603236595966
Petti2019,508084,ok,6314,TRUE,89,8,9482,9482,1,1,0.0724571400098942
Petti2019,548327,ok,4566,TRUE,88,32,8705,8705,1,1,0.137203146127331
Petti2019,721214,ok,6545,TRUE,124,8,13149,13149,1,1,0.0296950316731681
Petti2019,782328,ok,5815,TRUE,104,10,15148,15148,1,1,0.14542640506527
Petti2019,809653,ok,6340,TRUE,42,114,15194,15194,1,1,0.12502783447764
Petti2019,ND_083017,ok,3493,TRUE,26,65,4542,4542,1,1,0.154582456839144
Petti2019,ND_090617,ok,2942,FALSE,35,55,5485,5485,1,1,0.179764605669449
Petti2019,Normal_sorted_170531,ok,3342,TRUE,23,32,2577,2577,1,1,0.163674446439258
Petti2019,Normal_sorted_170607,ok,2166,FALSE,28,28,1904,1904,1,1,0.264796407944526
