stratum,gene,n_samples_WT,n_samples_mut,n_cells_WT,n_cells_mut,n_pos_WT,n_pos_mut,mean_lognorm_WT,mean_lognorm_mut,pct_mut,pct_WT,log_or,se,z_cell,odds_ratio,p_cell_two_sided,n_pairs,median_delta_log2cpm,p_sample_higher,frac_pairs_mut_higher,category,fdr_sample
HSC_MPP,CXCL12,5,8,2202,2616,0,1,0,0.000588554970708122,0.0382262996941896,0,0.926750083667778,1.63324922539458,0.567427229879067,2.52628560504684,0.570423954078374,5,0.0110766892328953,0.5,0.2,msc_niche,1
HSC_MPP,DCN,5,8,2202,2616,0,1,0,0.000647227063717844,0.0382262996941896,0,0.926750083667778,1.63324922539458,0.567427229879067,2.52628560504684,0.570423954078374,5,0.00476942534841093,0.5,0.2,collagen_ecm_structural,1
HSC_MPP,EMCN,5,8,2202,2616,26,64,0.011931759776161,0.0218099302224903,2.44648318042813,1.18074477747502,0.730165301763082,0.232574613937162,3.13948839644365,2.07542365050912,0.00169243117076773,5,0.00376906156366071,0.5,0.2,msc_niche,1
HSC_MPP,FGF2,5,8,2202,2616,0,4,0,0.00121929388807799,0.152905198776758,0,2.02651003887349,1.49099263138815,1.35916837964971,7.58755980861244,0.174093238651923,5,0.000505960910108074,0.5,0.2,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,IGF2,5,8,2202,2616,8,2,0.00133260643783738,0.00100838732921489,0.0764525993883792,0.36330608537693,-1.39889407612201,0.720059182150977,-1.94274875010024,0.246869832270257,0.0520465228810456,5,0.00823818769052448,0.5,0.2,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,IL6,5,8,2202,2616,2,2,0.000310816333976351,0.000211435746086838,0.0764525993883792,0.0908265213442325,-0.172388267377039,0.89489492371028,-0.192635205329257,0.841652323580034,0.847244671422618,5,0.00132382006040385,0.5,0.2,inflammatory_cytokine,0.870535714285714
HSC_MPP,LOXL2,5,8,2202,2616,9,6,0.00232534109594365,0.00118511366623305,0.229357798165138,0.408719346049046,-0.553532953949242,0.509851225876713,-1.08567543992351,0.574915069708364,0.277622610321372,5,0.000453942799019045,0.5,0.2,ecm_remodeling,0.9375
HSC_MPP,MPL,5,8,2202,2616,180,264,0.0685138069005282,0.11573789337909,10.0917431192661,8.17438692098093,0.230966250998531,0.101194870527958,2.28239089386176,1.25981672117539,0.0224662724785771,5,-0.00034644105293893,0.5,0.4,megakaryocyte_fibrosis_axis,0.859375
HSC_MPP,PDGFRA,5,8,2202,2616,6,8,0.000831285173508652,0.00166522542470686,0.305810397553517,0.272479564032698,0.0963538275480661,0.521854236834864,0.184637434645484,1.10114861178691,0.853513422124681,5,0.0076559982885126,0.5,0.2,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,S100A9,5,8,2202,2616,351,442,0.138937839632522,0.158247968158078,16.8960244648318,15.9400544959128,0.0694281215132389,0.078133319858071,0.888585326200844,1.07189501224428,0.37422598011434,5,-0.0136533171276068,0.5,0.4,inflammatory_cytokine,0.870535714285714
HSC_MPP,SNAI2,5,8,2202,2616,0,2,0,0.000482811206474006,0.0764525993883792,0,1.43795811661625,1.54946329799131,0.928036255186157,4.2120864410021,0.35338876350075,5,0.00115345581382283,0.5,0.2,emt,0.984375
HSC_MPP,SPARC,5,8,2202,2616,491,604,0.180532186039597,0.172883207449756,23.0886850152905,22.2979109900091,0.0449321791451477,0.0690653669903832,0.650574681683863,1.04595691981069,0.515321078356486,5,0.00029598938689988,0.5,0.6,collagen_ecm_structural,1
HSC_MPP,VIM,5,8,2202,2616,2033,2125,3.12676747801873,2.38179192019815,81.2308868501529,92.3251589464124,-1.02036039031515,0.0943214372008089,-10.8179054581497,0.360465008663383,2.83174884629582e-27,5,0.13799047841342,0.5,0.6,emt,0.984375
HSC_MPP,CDH2,5,8,2202,2616,157,311,0.0392565809424438,0.0847795503257652,11.888379204893,7.12988192552225,0.562318565684513,0.102382140233483,5.49235017359613,1.75473625870503,3.96619989980968e-08,5,-0.0176527730377446,0.5625,0.4,emt,0.984375
HSC_MPP,CXCL2,5,8,2202,2616,871,557,0.625917865762759,0.235584979835121,21.2920489296636,39.5549500454133,-0.88291047024795,0.0646355654411131,-13.6598243431835,0.413577453433893,1.76408769601004e-42,5,0.117861581615165,0.59375,0.6,inflammatory_cytokine,0.870535714285714
HSC_MPP,IL18,5,8,2202,2616,1379,1175,0.511783490550652,0.421856376547072,44.9159021406728,62.6248864668483,-0.719903493137978,0.0590224792426308,-12.1971069730667,0.486799233159551,3.22064397551136e-34,5,-0.008230423374017,0.59375,0.4,inflammatory_cytokine,0.870535714285714
HSC_MPP,NFE2,5,8,2202,2616,947,1250,0.370289471395739,0.557632848206847,47.782874617737,43.0063578564941,0.192752986590609,0.058166838315595,3.31379514810126,1.21258323220446,0.000920389114482538,5,-0.094645034409161,0.59375,0.4,megakaryocyte_fibrosis_axis,0.859375
HSC_MPP,STAB1,5,8,2202,2616,584,528,0.159604956492851,0.147599785421887,20.1834862385321,26.5213442325159,-0.355660286172762,0.0685542132786627,-5.18801499080816,0.700710620893717,2.12547497341123e-07,5,-0.0521108104117806,0.59375,0.4,macrophage_marker,1
HSC_MPP,COL5A2,5,8,2202,2616,31,8,0.00668109830851082,0.00238992292784682,0.305810397553517,1.4078110808356,-1.49327855282289,0.387604132875859,-3.85258676615079,0.22463496931582,0.000116876541335532,5,0.00127237288655553,0.625,0.4,collagen_ecm_structural,1
HSC_MPP,IGF1,5,8,2202,2616,2,6,0.00115994806381761,0.00265523392336348,0.229357798165138,0.0908265213442325,0.784654278427975,0.744770880470023,1.05355123166575,2.19164910936602,0.292088426974514,5,0.0020188825356524,0.625,0.4,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,NGFR,5,8,2202,2616,5,2,0.00112248051229937,0.000565418584689439,0.0764525993883792,0.227066303360581,-0.962209884433124,0.763318889258925,-1.26056081930226,0.382047671204298,0.207467122456385,5,-0.00117703988028552,0.625,0.2,msc_niche,1
HSC_MPP,OSMR,5,8,2202,2616,17,11,0.00372548523661961,0.00457058570261287,0.420489296636086,0.772025431425976,-0.595633805606164,0.380710839842274,-1.56453072324637,0.551213093182005,0.117692983658302,5,-0.002211209188606,0.625,0.2,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,SP7,5,8,2202,2616,2,6,0.00126156088118836,0.00102915860681122,0.229357798165138,0.0908265213442325,0.784654278427975,0.744770880470023,1.05355123166575,2.19164910936602,0.292088426974514,5,0.000345566074249825,0.625,0.4,msc_niche,1
HSC_MPP,ACTA2,5,8,2202,2616,256,320,0.0698234240531233,0.0807675171333397,12.2324159021407,11.6257947320618,0.0574002750345629,0.0892633639310422,0.643044049728014,1.05907964870688,0.520195517540089,5,-0.010659346833048,0.6875,0.4,msc_niche,1
HSC_MPP,CALR,5,8,2202,2616,1977,1973,1.47492829974916,1.3114839075507,75.4204892966361,89.7820163487739,-1.05062667263236,0.0836719446151387,-12.5564988057212,0.349718521399937,3.66180986519779e-36,5,0.0980052287111699,0.6875,0.6,megakaryocyte_fibrosis_axis,0.859375
HSC_MPP,CD96,5,8,2202,2616,860,375,0.29331769470609,0.140394960888184,14.3348623853211,39.05540417802,-1.34186688165988,0.0708254168775402,-18.9461204863788,0.261357289718548,4.75363428476553e-80,5,-0.0243671811708869,0.6875,0.4,nectin_target,1
HSC_MPP,CTSK,5,8,2202,2616,51,28,0.0118315547227678,0.00760592461688002,1.07033639143731,2.31607629427793,-0.776591004458387,0.23527921956246,-3.30072076022092,0.459971382008923,0.000964368117363452,5,-0.00480349448241678,0.6875,0.4,ecm_remodeling,0.9375
HSC_MPP,HIF1A,5,8,2202,2616,1494,1314,0.694687905685476,0.533179769649751,50.2293577981651,67.8474114441417,-0.737226052050843,0.0600753906386835,-12.2716813692449,0.478439242032045,1.28555706470636e-34,5,0.022632086292951,0.6875,0.6,hypoxia,0.87890625
HSC_MPP,IL1B,5,8,2202,2616,1184,1072,0.817934601543809,0.456766830925322,40.9785932721713,53.7693006357857,-0.515697649488444,0.0583603783865977,-8.8364343026068,0.597083894006443,9.88220531465692e-19,5,-0.015233294083067,0.6875,0.4,inflammatory_cytokine,0.870535714285714
HSC_MPP,JAK2,5,8,2202,2616,569,498,0.168225669358742,0.154704960690572,19.0366972477064,25.8401453224342,-0.393138532510833,0.0696143579572983,-5.64737712228827,0.674935240635872,1.6291419855775e-08,5,-0.028715144450171,0.6875,0.4,megakaryocyte_fibrosis_axis,0.859375
HSC_MPP,KITLG,5,8,2202,2616,21,27,0.00542378008181646,0.00362198946125005,1.03211009174312,0.953678474114441,0.0746809762386267,0.289343808282154,0.25810462882206,1.07754033507411,0.796326159304243,5,-0.000212456522211534,0.6875,0.4,msc_niche,1
HSC_MPP,RUNX2,5,8,2202,2616,670,605,0.210137485156957,0.204269401200503,23.1269113149847,30.4268846503179,-0.373949463308063,0.0655181040489371,-5.70757455113095,0.688011680784779,1.14597431802551e-08,5,-0.042847466049356,0.6875,0.4,msc_niche,1
HSC_MPP,TGFBR2,5,8,2202,2616,698,640,0.203329521687005,0.201804297130579,24.4648318042814,31.6984559491372,-0.359553044026868,0.0645254754143764,-5.57226493439766,0.69798822636994,2.51448642921874e-08,5,-0.00719136741944701,0.6875,0.4,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,MMP14,5,8,2202,2616,47,41,0.0148775236510116,0.0104202180100282,1.56727828746177,2.13442325158946,-0.313057258622393,0.214478951707072,-1.45961762742088,0.73120804340496,0.144395191901362,5,-0.00059392555662143,0.75,0.2,ecm_remodeling,0.9375
HSC_MPP,S100A12,5,8,2202,2616,35,9,0.0118085916956656,0.00355831196719052,0.344036697247706,1.58946412352407,-1.50305837609511,0.366438319642719,-4.10180457535283,0.22244878667981,4.09940440797198e-05,5,-0.0126183989777195,0.75,0.2,monocyte_marker,0.78125
HSC_MPP,TIGIT,5,8,2202,2616,10,8,0.00221841828490114,0.00350946153306203,0.305810397553517,0.454132606721163,-0.385041991883316,0.462303597746318,-0.832876909806361,0.680422063400787,0.404914153289968,5,-0.00192683523517357,0.75,0.2,nectin_target,1
HSC_MPP,BNIP3,5,8,2202,2616,518,235,0.128731230881266,0.058067863888018,8.98318042813456,23.5240690281562,-1.13549087160742,0.084784881898913,-13.3926101703041,0.32126438305882,6.67915268278038e-41,5,-0.0065793209530671,0.78125,0.4,hypoxia,0.87890625
HSC_MPP,CSF3R,5,8,2202,2616,1517,1296,0.699181842087882,0.599461584638028,49.5412844036697,68.8919164396004,-0.813013150689752,0.0603851311156878,-13.4637970584539,0.44351965925742,2.55444513492092e-41,5,-0.12969832218195,0.78125,0.2,monocyte_marker,0.78125
HSC_MPP,CXCL8,5,8,2202,2616,1286,540,1.7273943261964,0.437651261348902,20.6422018348624,58.4014532243415,-1.68506299043358,0.0648083989537142,-26.0006884545481,0.185432751098691,4.86414351900658e-149,5,-0.000638641204068598,0.78125,0.4,inflammatory_cytokine,0.870535714285714
HSC_MPP,NLRP3,5,8,2202,2616,781,429,0.361957423694203,0.11696098286764,16.3990825688073,35.4677565849228,-1.02964009557794,0.069054357813582,-14.9105737592628,0.357135472077507,2.81324704236859e-50,5,-0.000913630274542998,0.78125,0.4,inflammatory_cytokine,0.870535714285714
