dataset,sample,ligand,n_edges,total_prob,primitive_sender_share,primitive_receiver_share,primitive_autocrine_share,immune_receiver_share,prim_to_immune_share,group
GSE185381,GSM5613746_2019-07-01-count-3,MIF,29,5.214122133039557,0.3677351736548283,0.3145053365500409,0.1345277233413858,0.6511290460094181,0.2332074503134424,AML
GSE185381,GSM5613748_2019-08-01-count-2,CD99,21,1.0055920537064755,0.5467277171720222,0.5138407564984859,0.2824242980764801,0.48615924350151407,0.26430341909554195,healthy
GSE185381,GSM5613748_2019-08-01-count-2,LGALS9,28,0.228233871179229,0.1843322009408096,0.32884322123747556,0.06110775950799615,0.5539923308235312,0.10446584032376419,healthy
GSE185381,GSM5613748_2019-08-01-count-2,MIF,25,3.3261923625933965,0.5012547310845293,0.342424000227959,0.19577339664321355,0.6575759997720408,0.30548133444131575,healthy
GSE185381,GSM5613749_2019-08-01-count-3,CD99,21,1.0311354644134796,0.5360182456139279,0.5039826533928203,0.27193361566461544,0.4960173466071797,0.2640846299493125,healthy
GSE185381,GSM5613749_2019-08-01-count-3,LGALS9,37,0.4039757084035958,0.20172554472957793,0.2507146756494183,0.043085352873603065,0.6345266056765928,0.12755471099053944,healthy
GSE185381,GSM5613749_2019-08-01-count-3,MIF,19,2.6000065429928725,0.445424789521663,0.18365499587651188,0.09503488658473594,0.8163450041234881,0.35038990293692696,healthy
GSE185381,GSM5613750_2019-08-01-count-4,CD99,18,0.7596599700087727,0.48593714174823194,0.450088142212694,0.2342603657874283,0.549911857787306,0.2516767759608037,healthy
GSE185381,GSM5613750_2019-08-01-count-4,LGALS9,26,0.1984331161076956,0.20228014101396624,0.3209602178026681,0.08042012284907983,0.5942069299501452,0.12186001816488641,healthy
GSE185381,GSM5613750_2019-08-01-count-4,MIF,18,2.260133931603139,0.4705309672265927,0.14775553727578097,0.10296170051421337,0.8522444627242189,0.3675692667123794,healthy
GSE185381,GSM5613751_2019-08-29-count-1,CD99,19,1.1688453879482916,0.7108793180567672,0.7108793180567673,0.4615527603805786,0.19344305566873068,0.1536489314016863,AML
GSE185381,GSM5613751_2019-08-29-count-1,LGALS9,18,0.3944168025238677,0.6149381162699656,0.5154149908165321,0.33707929152778854,0.4845850091834677,0.277858824742177,AML
GSE185381,GSM5613751_2019-08-29-count-1,MIF,16,3.2420072856994,0.673059397493287,0.390030923700269,0.2799510127829596,0.6099690762997309,0.3931083847103274,AML
GSE185381,GSM5613752_2019-08-29-count-2,CD99,21,1.2722601943595024,0.6500726328079712,0.6500726328079711,0.3876921833115441,0.19524920778996482,0.13339206465931908,healthy
GSE185381,GSM5613752_2019-08-29-count-2,LGALS9,19,0.4614412956494069,0.5536492329408196,0.48515463464254327,0.3001045615849627,0.5148453653574568,0.25354467135585695,healthy
GSE185381,GSM5613752_2019-08-29-count-2,MIF,17,3.437019127956795,0.6298560166144562,0.4165643609359984,0.25874308932304463,0.5834356390640015,0.3711129272914116,healthy
GSE185381,GSM5613756_2019-10-25-count-5,CD99,5,0.3456913732381349,0.8069027300165387,0.8069027300165389,0.6138054600330776,0.19309726998346124,0.19309726998346124,AML
GSE185381,GSM5613756_2019-10-25-count-5,LGALS9,25,0.32661075442946486,0.2438526174586743,0.34014632200157874,0.06050857831359984,0.5822136774718197,0.1833440391450744,AML
GSE185381,GSM5613756_2019-10-25-count-5,MIF,28,3.622585940235004,0.41114518125490296,0.24629978575486838,0.10804714417521355,0.7537002142451316,0.3030980370796894,AML
GSE185381,GSM5613757_2019-11-04-count-1,CD99,15,1.4157611132207761,0.6695788922576863,0.6695788922576863,0.3866402981376803,0.21226737607982304,0.1647848624575152,healthy
GSE185381,GSM5613757_2019-11-04-count-1,LGALS9,43,0.46083617723395254,0.5963655266044251,0.3641289932465402,0.21171949796241324,0.5644129752628385,0.3225405338553777,healthy
