tier,hierarchy_bin,gene,logFC,P.Value,q_within_bin,q_pooled,hit_baseline,hit_pooled
primary,Mono_DC,BRCA2,1.0720726739434,0.000692442926300555,0.0172614049454918,0.0581370148112804,TRUE,FALSE
primary,Mono_DC,HERPUD1,-0.88752890291056,0.000693171858822253,0.0172614049454918,0.0581370148112804,FALSE,FALSE
primary,Mono_DC,HLA-DQA1,-1.84358694791981,0.000701753159331055,0.0173924395376679,0.0585840146466815,TRUE,FALSE
primary,Mono_DC,FLYWCH1,0.606382140743751,0.000706128606415283,0.017461642152812,0.0585840146466815,FALSE,FALSE
primary,Mono_DC,LINC00342,1.25524374457708,0.000709111118996547,0.0174891981364217,0.0585840146466815,TRUE,FALSE
primary,Mono_DC,UHRF2,0.637312393346728,0.000711430569505867,0.0174891981364217,0.0585840146466815,FALSE,FALSE
primary,Mono_DC,ARL3,-0.587174637725592,0.000712000178008283,0.0174891981364217,0.0585840146466815,FALSE,FALSE
primary,Mono_DC,TARS,0.588630411517644,0.000734701820736504,0.0179667990707381,0.059559646862584,FALSE,FALSE
primary,Mono_DC,CHD7,1.51492605020858,0.000745933175904666,0.01804144078301,0.0602478159612118,TRUE,FALSE
primary,Mono_DC,ACTB,-0.599708214017869,0.000753129693536579,0.0181486216336953,0.0603242129362121,FALSE,FALSE
primary,Mono_DC,EIF4E2,-0.533310698780062,0.000760260255161223,0.0182280659873329,0.0603242129362121,FALSE,FALSE
primary,Mono_DC,CARD16,-1.18085740450409,0.000763969524832314,0.0182772665713137,0.0603242129362121,TRUE,FALSE
primary,Mono_DC,PARP15,1.0652835435333,0.000766100205253001,0.0182885696184748,0.0603242129362121,TRUE,FALSE
primary,Mono_DC,RCC1,0.807344804447561,0.000777689586047342,0.0183967564719523,0.0604387232360058,FALSE,FALSE
primary,Mono_DC,RNASEK,-0.6291445404068,0.000780640314522954,0.0183967564719523,0.0604387232360058,FALSE,FALSE
primary,Mono_DC,LRRC41,0.455368062993059,0.000775733082805212,0.0183967564719523,0.0604387232360058,FALSE,FALSE
primary,Mono_DC,ALKBH2,-0.631524953703798,0.000792096769805776,0.0185873090940168,0.0610581541609231,FALSE,FALSE
primary,Mono_DC,IL16,-0.725058654606374,0.000822136479445657,0.0191294161008569,0.0624965962523932,FALSE,FALSE
primary,Mono_DC,STX10,-0.718860310878018,0.00081986775765439,0.0191294161008569,0.0624965962523932,FALSE,FALSE
primary,Mono_DC,NR4A3,-1.84838274948633,0.000833198827056078,0.0192245813046056,0.0628239482036768,TRUE,FALSE
primary,Mono_DC,DUSP1,-1.34328829825246,0.00083102643499079,0.0192245813046056,0.0628239482036768,TRUE,FALSE
primary,Mono_DC,TEC,0.951079954453553,0.000835923530440916,0.0192292924026669,0.0628239482036768,FALSE,FALSE
primary,Mono_DC,IGLL1,-1.79166734254412,0.0008501809851279,0.0193897128024378,0.0635293403478736,TRUE,FALSE
primary,Mono_DC,MSL3,-0.635046421826425,0.0008533757066186,0.0194059395222609,0.063551901351539,FALSE,FALSE
primary,Mono_DC,PBXIP1,0.711435823668309,0.000857981027853473,0.0194705200744773,0.0636790040571384,FALSE,FALSE
primary,Mono_DC,BAG4,0.536073874482136,0.000873149009258005,0.0196931705993999,0.0639783228643036,FALSE,FALSE
primary,Mono_DC,PVT1,1.0402636852997,0.000880030483941173,0.0197922895484103,0.0641113342780157,TRUE,FALSE
primary,Mono_DC,LTA4H,-0.889825612516282,0.00088781880631295,0.0198213635927642,0.0643403867463936,FALSE,FALSE
primary,Mono_DC,ANKRD36C,0.964345826162438,0.000890321706536649,0.0198370870735206,0.0643403867463936,FALSE,FALSE
primary,Mono_DC,CAPRIN1,0.422966957071147,0.000917942476966281,0.0203701963349318,0.0659028701845498,FALSE,FALSE
