sample_id,dataset,n_total,n_singler_TB,n_ref,frac_ref,val_lineage_pos,val_blast_drop,method,decision,fallback,fallback_mode
GSM8791444_MLL_30886,GSE289435,10447,926,925,0.0885421652148942,0.618,1,singleR,autologous_ok,FALSE,external
508084,Petti2019,8484,84,82,0.00966525223950966,0.951,2,singleR,autologous_ok,FALSE,external
548327,Petti2019,7986,1057,1021,0.127848735286752,0.929,36,singleR,autologous_ok,FALSE,external
721214,Petti2019,12256,115,115,0.0093831592689295,0.983,0,singleR,autologous_ok,FALSE,external
782328,Petti2019,13447,156,152,0.0113036364988473,0.993,4,singleR,autologous_ok,FALSE,external
809653,Petti2019,13041,9271,9259,0.709991565064029,0.988,12,singleR,autologous_ok,FALSE,external
ND_083017,Petti2019,4542,2965,2946,0.648612945838838,0.985,19,singleR,autologous_ok,FALSE,external
ND_090617,Petti2019,5485,3494,3412,0.622060164083865,0.993,82,singleR,autologous_ok,FALSE,external
Normal_sorted_170531,Petti2019,2577,1309,1261,0.489328676755918,0.977,48,singleR,autologous_ok,FALSE,external
Normal_sorted_170607,Petti2019,1904,926,909,0.477415966386555,0.972,17,singleR,autologous_ok,FALSE,external
