sample,dataset,n_qc_cells,arms,n_types,evidence_tier,conflict_frac,expr_conflict_frac,n_called,called_frac,n_malignant,malignant_frac,n_high,n_conflicting,n_low_single
GSM6085180_AML02M5_RE,GSE201966,8838,infercnv,1,C_single,0,,8838,1,2,2e-04,0,0,8838
GSM6085181_AML03M5_P,GSE201966,6806,infercnv,1,C_single,0,,6806,1,1025,0.1506,0,0,6806
GSM6085182_AML03M5_RE,GSE201966,2478,infercnv,1,C_single,0,,2478,1,82,0.0331,0,0,2478
GSM6284912_TS173_04_Sample_D,GSE207356,9554,infercnv,1,C_single,0,,9554,1,308,0.0322,0,0,9554
GSM6284913_TS173_05_Sample_E,GSE207356,5670,infercnv,1,C_single,0,,5670,1,1382,0.2437,0,0,5670
GSM6284914_TS173_06_Sample_F,GSE207356,6776,infercnv,1,C_single,0,,6776,1,1219,0.1799,0,0,6776
1216_Dg,GSE227903,2239,infercnv,1,C_single,0,,2239,1,867,0.3872,0,0,2239
1216_MRD,GSE227903,1789,infercnv,1,C_single,0,,1789,1,86,0.0481,0,0,1789
1216_R,GSE227903,5447,numbat+infercnv,2,B_multi_partial,0.2258,,5447,1,1274,0.2339,4167,1215,65
1886_Dg,GSE227903,3089,numbat+infercnv,2,B_multi_partial,0.3959,,3089,1,1524,0.4934,1866,1223,0
1886_MRD,GSE227903,2777,infercnv,1,C_single,0,,2777,1,262,0.0943,0,0,2777
1886_R,GSE227903,1705,numbat+infercnv,2,A_concordant,0.0909,,1705,1,159,0.0933,1550,155,0
3822_R,GSE227903,452,infercnv,1,C_single,0,,452,1,6,0.0133,0,0,452
3853_Dg,GSE227903,1310,numbat+infercnv,2,B_multi_partial,0.7649,,1310,1,1002,0.7649,308,1002,0
3853_R,GSE227903,525,infercnv,1,C_single,0,,525,1,0,0,0,0,525
3904_Dg,GSE227903,3190,infercnv,1,C_single,0,,3190,1,291,0.0912,0,0,3190
3904_MRD,GSE227903,2246,infercnv,1,C_single,0,,2246,1,141,0.0628,0,0,2246
3904_R,GSE227903,8901,infercnv,1,C_single,0,,8901,1,221,0.0248,0,0,8901
40389_Dg,GSE227903,2947,infercnv,1,C_single,0,,2947,1,426,0.1446,0,0,2947
40389_MRD,GSE227903,3652,infercnv,1,C_single,0,,3652,1,211,0.0578,0,0,3652
40389_R,GSE227903,5035,infercnv,1,C_single,0,,5035,1,396,0.0786,0,0,5035
4978_Dg,GSE227903,2575,infercnv,1,C_single,0,,2575,1,56,0.0217,0,0,2575
4978_MRD,GSE227903,1688,infercnv,1,C_single,0,,1688,1,176,0.1043,0,0,1688
4978_R,GSE227903,2002,infercnv,1,C_single,0,,2002,1,22,0.011,0,0,2002
5143_Dg,GSE227903,1091,infercnv,1,C_single,0,,1091,1,4,0.0037,0,0,1091
5143_R,GSE227903,2059,infercnv,1,C_single,0,,2059,1,30,0.0146,0,0,2059
5750_Dg,GSE227903,4026,infercnv,1,C_single,0,,4026,1,87,0.0216,0,0,4026
5750_MRD,GSE227903,2150,infercnv,1,C_single,0,,2150,1,184,0.0856,0,0,2150
5750_R,GSE227903,4876,infercnv,1,C_single,0,,4876,1,75,0.0154,0,0,4876
6323_Dg,GSE227903,600,numbat+infercnv,2,B_multi_partial,0.4975,,600,1,298,0.4967,301,298,1
6323_MRD,GSE227903,10035,infercnv,1,C_single,0,,10035,1,4628,0.4612,0,0,10035
6323_R,GSE227903,885,numbat+infercnv,2,A_concordant,0.0373,,885,1,33,0.0373,852,33,0
6323_R2,GSE227903,3621,infercnv,1,C_single,0,,3621,1,61,0.0168,0,0,3621
PT10A,GSE239721,1223,infercnv+author,1,D_low_coverage,0,0.8397,196,0.1603,194,0.9898,0,0,196
PT12A,GSE239721,393,infercnv,1,C_single,0,,393,1,3,0.0076,0,0,393
PT13A,GSE239721,476,infercnv,1,C_single,0,,476,1,19,0.0399,0,0,476
PT14A,GSE239721,632,infercnv+author,1,C_single,0,1,630,0.9968,0,0,0,0,630
PT15A,GSE239721,3910,infercnv+author,1,D_low_coverage,0,0.998,8,0.002,5,0.625,0,0,8
PT16A,GSE239721,1468,infercnv+author,1,D_low_coverage,0,0.4782,766,0.5218,707,0.923,0,0,766
PT17A,GSE239721,2339,infercnv+author,1,D_low_coverage,0,0.87,304,0.13,11,0.0362,0,0,304
PT20A,GSE239721,991,infercnv+author,1,D_low_coverage,0,0.9304,69,0.0696,5,0.0725,0,0,69
PT21A,GSE239721,3357,infercnv+author,1,D_low_coverage,0,0.8302,570,0.1698,4,0.007,0,0,570
PT22A,GSE239721,1640,infercnv+author,1,C_single,0,0.0091,1625,0.9909,0,0,0,0,1625
PT23A,GSE239721,4097,infercnv+author,1,C_single,0,0.0525,3882,0.9475,11,0.0028,0,0,3882
PT26A,GSE239721,1165,infercnv+author,1,D_low_coverage,0,0.9957,5,0.0043,0,0,0,0,5
PT27A,GSE239721,4988,infercnv+author,1,D_low_coverage,0,0.9731,134,0.0269,131,0.9776,0,0,134
PT28A,GSE239721,7258,infercnv+author,1,D_low_coverage,0,0.7838,1569,0.2162,3,0.0019,0,0,1569
PT29A,GSE239721,2150,infercnv+author,1,D_low_coverage,0,0.9405,128,0.0595,80,0.625,0,0,128
PT30A,GSE239721,604,infercnv+author,1,D_low_coverage,0,0.9603,24,0.0397,6,0.25,0,0,24
PT32A,GSE239721,1700,infercnv+author,1,D_low_coverage,0,0.2559,1265,0.7441,5,0.004,0,0,1265
GSM8019212_H14_MACS,GSE253355,4583,infercnv,1,C_single,0,,4583,1,2184,0.4765,0,0,4583
GSM8019213_H21,GSE253355,6192,infercnv,1,C_single,0,,6192,1,3272,0.5284,0,0,6192
GSM8019214_H23,GSE253355,4493,infercnv,1,C_single,0,,4493,1,2752,0.6125,0,0,4493
GSM8019215_H24,GSE253355,3562,infercnv,1,C_single,0,,3562,1,1148,0.3223,0,0,3562
GSM8019216_H32,GSE253355,3553,infercnv,1,C_single,0,,3553,1,1377,0.3876,0,0,3553
GSM8019217_H33,GSE253355,5206,infercnv,1,C_single,0,,5206,1,1983,0.3809,0,0,5206
GSM8019218_H34,GSE253355,2968,infercnv,1,C_single,0,,2968,1,1686,0.5681,0,0,2968
GSM8019219_H35,GSE253355,5264,infercnv,1,C_single,0,,5264,1,2575,0.4892,0,0,5264
GSM8019220_H36,GSE253355,7731,infercnv,1,C_single,0,,7731,1,3607,0.4666,0,0,7731
GSM8019221_H38,GSE253355,5954,infercnv,1,C_single,0,,5954,1,2621,0.4402,0,0,5954
GSM8019222_H39,GSE253355,6433,infercnv,1,C_single,0,,6433,1,2000,0.3109,0,0,6433
GSM8019223_H41,GSE253355,6057,infercnv,1,C_single,0,,6057,1,3060,0.5052,0,0,6057
GSM8791432_MLL_14666,GSE289435,8111,infercnv,1,C_single,0,,8111,1,230,0.0284,0,0,8111
GSM8791433_MLL_16703,GSE289435,6978,infercnv,1,C_single,0,,6978,1,252,0.0361,0,0,6978
GSM8791434_MLL_17746,GSE289435,4881,infercnv,1,C_single,0,,4881,1,1217,0.2493,0,0,4881
GSM8791435_MLL_17843,GSE289435,12268,infercnv,1,C_single,0,,12268,1,375,0.0306,0,0,12268
GSM8791436_MLL_17844,GSE289435,9108,infercnv,1,C_single,0,,9108,1,2695,0.2959,0,0,9108
GSM8791437_MLL_28824,GSE289435,4189,infercnv,1,C_single,0,,4189,1,118,0.0282,0,0,4189
GSM8791438_MLL_28830,GSE289435,4170,numbat+infercnv,2,B_multi_partial,0.1721,,4170,1,856,0.2053,2098,436,1636
GSM8791439_MLL_28855,GSE289435,4562,numbat+infercnv,2,B_multi_partial,0.2627,,4562,1,1776,0.3893,912,325,3325
GSM8791441_MLL_29532,GSE289435,4853,infercnv,1,C_single,0,,4853,1,48,0.0099,0,0,4853
GSM8791442_MLL_29538,GSE289435,4010,infercnv,1,C_single,0,,4010,1,1149,0.2865,0,0,4010
GSM8791443_MLL_30862,GSE289435,2659,infercnv,1,C_single,0,,2659,1,1199,0.4509,0,0,2659
GSM8791444_MLL_30886,GSE289435,10447,infercnv,1,C_single,0,,10447,1,388,0.0371,0,0,10447
508084,Petti2019,8484,infercnv,1,C_single,0,,8484,1,68,0.008,0,0,8484
548327,Petti2019,7986,infercnv,1,C_single,0,,7986,1,382,0.0478,0,0,7986
721214,Petti2019,12256,infercnv,1,C_single,0,,12256,1,187,0.0153,0,0,12256
782328,Petti2019,13447,infercnv,1,C_single,0,,13447,1,2566,0.1908,0,0,13447
809653,Petti2019,13041,infercnv,1,C_single,0,,13041,1,513,0.0393,0,0,13041
