alpha,feature_set,features,mean_healthy,mean_aml,beta_global,p_global,beta_strat,p_strat,family,q_strat,split
0.0,only_pg_JAK_STAT_normal,pg_JAK_STAT_normal,0.08641471115346844,0.2084561188659022,0.07330940826901577,0.04645695354304646,0.07353484482853222,0.0895999104000896,pg,0.3135996864003136,discovery
0.0,only_pg_MAPK_normal,pg_MAPK_normal,0.0828169668420026,0.1487789976681508,0.07938501362022204,0.007014992985007015,0.072578708402384,0.038384961615038383,pg,0.22845352154647844,discovery
0.0,only_pg_NFkB_normal,pg_NFkB_normal,0.1768582052090647,0.19076423519627336,0.003851664165226661,0.9275580724419276,-0.010351350914290246,0.8441741558258442,pg,0.8863828636171365,discovery
0.0,only_pg_p53_normal,pg_p53_normal,0.04019490414238776,0.09630697970752648,0.032322826753275885,0.11057988942011059,0.028805823455526586,0.18136481863518136,pg,0.42952472837000844,discovery
0.0,only_pg_PI3K_normal,pg_PI3K_normal,0.041970150840401566,0.11679603182111237,0.07267929562719112,0.001090998909001091,0.08194606662988323,0.001803998196001804,pg,0.03788396211603788,discovery
0.0,only_pg_TGFb_normal,pg_TGFb_normal,0.10082663484405008,0.1940744157194386,0.059107663982001665,0.14695085304914696,0.034263893169402544,0.41002758997241,pg,0.5612979387020612,discovery
0.0,only_pg_TNFa_normal,pg_TNFa_normal,0.07956070694034237,0.14442667415321297,0.05956285785274436,0.04464295535704464,0.04075490573582745,0.23832476167523833,pg,0.45498363592545504,discovery
0.0,only_pg_Trail_normal,pg_Trail_normal,0.06439723968562532,0.1200312103378815,0.046150175286188796,0.035872964127035875,0.049192604542211076,0.06954893045106955,pg,0.29210550789449213,discovery
0.0,only_pg_VEGF_normal,pg_VEGF_normal,0.07600924343845417,0.12079246182034892,0.022490997279793312,0.38944061055938944,0.023292404459581844,0.42295157704842296,pg,0.5612979387020612,discovery
0.0,only_pg_WNT_normal,pg_WNT_normal,0.09698319018010858,0.1766346830245202,0.0474473490858608,0.20316379683620317,0.04054876635265549,0.30225169774830224,pg,0.5077828522171477,discovery
0.0,only_pg_Androgen_malignant,pg_Androgen_malignant,0.09076109349131364,0.12213872088731663,0.03406993797027708,0.21663978336021664,0.01545909734510814,0.5452984547015453,pg,0.6361815304851361,discovery
0.0,only_pg_EGFR_malignant,pg_EGFR_malignant,0.07797680763978238,0.1491444914523967,0.07234863316081865,0.012904987095012905,0.07079848792324372,0.02927097072902927,pg,0.2048967951032049,discovery
0.0,only_pg_Estrogen_malignant,pg_Estrogen_malignant,0.08519720714419189,0.18317693978289887,0.059913162881204525,0.09983590016409984,0.05958770750840705,0.14553885446114553,pg,0.42952472837000844,discovery
0.0,only_pg_Hypoxia_malignant,pg_Hypoxia_malignant,0.09222473411695131,0.14447998345343346,0.008260249839139838,0.7538132461867538,0.023643764674877107,0.4545885454114546,pg,0.5785672396145786,discovery
0.0,only_pg_JAK_STAT_malignant,pg_JAK_STAT_malignant,0.11259336772256565,0.228265605802051,0.05150516355654621,0.1352008647991352,0.04528988236219183,0.262028737971262,pg,0.4683345316654683,discovery
0.0,only_pg_MAPK_malignant,pg_MAPK_malignant,0.13973078515524823,0.18310118406774195,0.04990003138096016,0.20377079622920377,0.03555954567123642,0.4170925829074171,pg,0.5612979387020612,discovery
0.0,only_pg_NFkB_malignant,pg_NFkB_malignant,0.14670934954789247,0.17282814148498774,0.018034534294104867,0.5902974097025903,0.003197429867154189,0.93995406004594,pg,0.9399540600459401,discovery
0.0,only_pg_p53_malignant,pg_p53_malignant,0.056339817504230935,0.14472804490936447,0.06495514317126098,0.022927977072022928,0.06546940542999899,0.02596997403002597,pg,0.2048967951032049,discovery
0.0,only_pg_PI3K_malignant,pg_PI3K_malignant,0.07883615980527983,0.12538165170129664,0.03950296630373793,0.0637989362010638,0.035346217717282684,0.1657988342011658,pg,0.42952472837000844,discovery
0.0,only_pg_TGFb_malignant,pg_TGFb_malignant,0.12742104919439665,0.16399193792022684,-0.015111769999852928,0.6755213244786755,-0.04896294259579078,0.1943088056911943,pg,0.42952472837000844,discovery
0.0,only_pg_TNFa_malignant,pg_TNFa_malignant,0.09596915336610802,0.14814662137303608,0.010260448534932007,0.7414382585617414,-0.004969822510993257,0.8966641033358966,pg,0.918533959514821,discovery
0.0,only_pg_Trail_malignant,pg_Trail_malignant,0.10886493123035064,0.15088672406362308,0.031075809363415887,0.2513417486582513,0.015183622595434484,0.6758443241556759,pg,0.7671746382307671,discovery
0.0,only_pg_VEGF_malignant,pg_VEGF_malignant,0.06939557833991077,0.10931859563722898,0.023767679338569648,0.14352885647114352,0.025281457987753424,0.11098988901011099,pg,0.3585827183403586,discovery
0.0,only_pg_WNT_malignant,pg_WNT_malignant,0.12910760286718442,0.16865049980623856,0.0017805225758414293,0.9612900387099613,-0.011220526353184343,0.7683972316027684,pg,0.8275047109568274,discovery
